retrieval,study_ref,microbe,bacteria.code,exposed.R,syndrome,first author(s),study year,study period,study type,country,n_exposed,n_nonexposed,los,review_marker,cost_year,cost_currency,measure,se.measure,avexp,lowexp,highexp,otherexp,avnon,lownon,highnon,othernon,p,minexp,maxexp,minnon,maxnon,pvalue_flag,notes,both_los_cost,unique_id_4both,FLAG_COMPLETE,FLAG_MONEY,FLAG_EXPOSED<NON
founou_56,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM. Risk factors for and outcomes
of healthcare-associated infection due to extended-spectrum beta-lactamase-producing Escherichia
coli or Klebsiella pneumoniae in Thailand. Infect Control Hosp Epidemiol. 2007; 28(7):873±6.
https://doi.org/10.1086/518725 PMID: 17564993",Enterobacteriaceae,ent,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Prospective case Adults,Thailand,74,74,0,DRI,2004,USD,median,range,1935,42,4224,,545,42,2172,,,,,,,,"p<0.05, gives count breakdown of source, healthcare associated infection",1,99,FALSE,FALSE,FALSE
founou_56,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM. Risk factors for and outcomes
of healthcare-associated infection due to extended-spectrum beta-lactamase-producing Escherichia
coli or Klebsiella pneumoniae in Thailand. Infect Control Hosp Epidemiol. 2007; 28(7):873±6.
https://doi.org/10.1086/518725 PMID: 17564993",Enterobacteriaceae,ent,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Prospective case Adults,Thailand,74,74,1,DRI,,,median,range,22.5,1,48,,11.5,1,18,,,,,,,,"p<0.05, gives count breakdown of source, healthcare associated infection",1,99,FALSE,FALSE,FALSE
zhen_84,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM.
Clinical and molecular epidemiology of community-onset, extendedspectrum
beta-lactamase-producing Escherichia coli infections in Thailand: a
case-case-control study. Am J Infect Control. 2007;35:606–12.",Escherichia coli,eco,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Retrospective cohort,Thailand,46,46,1,AMR,,,median,range,8,1,43,,6,3,14,,,,,,,,"gives count breakdown of source, community associated infection",1,60,FALSE,FALSE,FALSE
zhen_84,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM.
Clinical and molecular epidemiology of community-onset, extendedspectrum
beta-lactamase-producing Escherichia coli infections in Thailand: a
case-case-control study. Am J Infect Control. 2007;35:606–12.",Escherichia coli,eco,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Retrospective cohort,Thailand,46,46,0,AMR,2004,THB,median,range,21120,1720,126920,,4800,1160,34000,,,,,,,,"US dollars at an exchange rate of 40 baht per 1 US dollar conversion used in paper, gives count breakdown of source, community associated infection",1,60,FALSE,FALSE,FALSE
zhen_84,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM.
Clinical and molecular epidemiology of community-onset, extendedspectrum
beta-lactamase-producing Escherichia coli infections in Thailand: a
case-case-control study. Am J Infect Control. 2007;35:606–12.",Escherichia coli,eco,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Retrospective cohort,Thailand,46,138,1,DRI,,,median,range,8,1,43,,5,3,13,,,,,,,,"gives count breakdown of source, community associated infection",1,90,FALSE,FALSE,FALSE
zhen_84,"Apisarnthanarak A, Kiratisin P, Saifon P, Kitphati R, Dejsirilert S, Mundy LM.
Clinical and molecular epidemiology of community-onset, extendedspectrum
beta-lactamase-producing Escherichia coli infections in Thailand: a
case-case-control study. Am J Infect Control. 2007;35:606–12.",Escherichia coli,eco,ESBL,INF,Apisarnthanarak,2007,07/2003-06/2004,Retrospective cohort,Thailand,46,138,0,DRI,2004,THB,median,range,21120,1720,126920,,4320,920,31600,,,,,,,,"US dollars at an exchange rate of 40 baht per 1 US dollar conversion used in paper, gives count breakdown of source, community associated infection",1,90,FALSE,FALSE,FALSE
naylor_151,"Apostolopoulou E, Zikos D. Clinical outcomes and economic variables in critically ill patients with bloodstream infections. 2014;8. ",Gram-negative,gn,carbapenems,BSI,Apostolopoulou,2014,01/10-12/10,Prospective observational,Greece,na,na,1,AMR,,,median,95ci,14,9,19,,10,7.5,12.5,,,,,,,,"compared to non-infected, ICU, P<0.001",0,0,FALSE,FALSE,FALSE
naylor_151,"Apostolopoulou E, Zikos D. Clinical outcomes and economic variables in critically ill patients with bloodstream infections. 2014;8. ",Gram-negative,gn,carbapenems,BSI,Apostolopoulou,2014,01/10-12/10,Prospective observational,Greece,na,na,1,DRI,,,excess_median,95ci,14,9,19,,,,,,,,,,,,"vs median for non-infected as baseline, ICU, P<0.001",1,99,FALSE,FALSE,FALSE
cassini_91,"Arnan M, Gudiol C, Calatayud L, et al. Risk factors for, and clinical relevance of, faecal extended-spectrum beta-lactamase producing Escherichia coli (ESBL-EC) carriage in neutropenic patients with haematological malignancies. European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology. Mar 2011;30(3):355-360.",Escherichia coli,eco,3g cephalosporins,COL/INF,Arnan,2011,05/06-12/07,Prospective cohort study,Spain,63,154,1,DRI,,,mean,sd,30.15,,,13.7,29.05,,,12.11,,,,,,0.6,"neutropenic cancer patients, a proportion had infections",0,0,FALSE,FALSE,FALSE
cassini_17,"Aydemir H, Celebi G, Piskin N, et al. Mortality attributable to carbapenem-resistant nosocomial Acinetobacter baumannii infections in a Turkish university hospital. Japanese journal of infectious diseases. 2012;65(1):66-71.",Acinetobacter baumannii,aba,carbapenems,INF,Aydemir,2012,01/05-12/06,Retrospective case-control,Turkey,110,55,1,AMR,,,mean,sd,22.4,,,29.1,16.5,,,17.1,0.671,,,,,,"after microbe isolation, includes % pnuemonia vs non-pneumonia infections",0,0,FALSE,FALSE,FALSE
founou_30,"Baran G, Erbay A, Bodur H, Onguru P, Akinci E, Balaban N, et al. Risk factors for nosocomial imipenem-
resistant Acinetobacter baumannii infections. International journal of infectious diseases: IJID: official
publication of the International Society for Infectious Diseases. 2008; 12(1):16±21.",Acinetobacter baumannii,aba,imipenem,INF,Baran,2008,01/2004-12/2004,Prospective case,Turkey,66,57,1,AMR,,,mean,sd,20.8,,,13.6,15.4,,,9.4,0.014,,,,,,"Nosocomial ICU and A. baumannii , Adults>16",0,0,FALSE,FALSE,FALSE
naylor_18,"Barnett AG, Page K, Campbell M, Martin E, Rashleigh-Rolls R, Halton K, et al. The increased risks of death and extra lengths of hospital and ICU stay from hospital-acquired bloodstream infections: a case-control study. BMJ Open. 2013;3:e003587. ",Staphylococcus aureus,sau,methicillin,BSI,Barnett,2013,01/05-32/10,Cohort,Australia,189,555,1,AMR,,,mean,95ci,12.8,6.2,26.1,,11,6.4,14.9,,,,,,,,"matched on had the same first letter in the principal diagnosis code (using ICD-10 coding), were of a similar age (within 10 years), were at the same hospital, and were infectionfree at the time of the case’s infection, and being discharged alive",0,0,FALSE,FALSE,FALSE
naylor_18,"Barnett AG, Page K, Campbell M, Martin E, Rashleigh-Rolls R, Halton K, et al. The increased risks of death and extra lengths of hospital and ICU stay from hospital-acquired bloodstream infections: a case-control study. BMJ Open. 2013;3:e003587. ",Staphylococcus aureus,sau,methicillin,BSI,Barnett,2013,01/05-32/10,Cohort,Australia,189,555,1,AMR,,,mean,95ci,1.6,-12.6,12.6,,2.7,-2.6,9.7,,,,,,,,"matched on had the same first letter in the principal diagnosis code (using ICD-10 coding), were of a similar age (within 10 years), were at the same hospital, and were infectionfree at the time of the case’s infection, and dying within hospital",0,0,FALSE,FALSE,TRUE
zhen_38,"Ben-David D, Novikov I, Mermel LA. Are there differences in hospital cost
between patients with nosocomial methicillin-resistant Staphylococcus aureus bloodstream infection and those with methicillin-susceptible S. aureus
bloodstream infection? Infect Control Hosp Epidemiol. 2009;30:453–60.",Staphylococcus aureus,sau,methicillin,BSI,Ben-David,2009,01/2000–08/2003,Case-control,USA,53,53,1,AMR,,,median,IQR,16,11,22,,12,9,23,,0.3,,,,,,General ward,1,56,FALSE,FALSE,FALSE
zhen_38,"Ben-David D, Novikov I, Mermel LA. Are there differences in hospital cost
between patients with nosocomial methicillin-resistant Staphylococcus aureus bloodstream infection and those with methicillin-susceptible S. aureus
bloodstream infection? Infect Control Hosp Epidemiol. 2009;30:453–60.",Staphylococcus aureus,sau,methicillin,BSI,Ben-David,2009,01/2000–08/2003,Case-control,USA,53,53,0,AMR,2003,USD,median,IQR,23690,13545,43375,,18152,11091,33202,,0.3,,,,,,General ward,1,56,FALSE,FALSE,FALSE
cassini_167,"Blot SI, Vandewoude KH, Hoste EA, Colardyn FA. Outcome and attributable mortality in critically Ill patients with bacteremia involving methicillin-susceptible and methicillin-resistant Staphylococcus aureus. Arch Intern Med. Oct 28 2002;162(19):2229-2235.",Staphylococcus aureus,sau,methicillin,BSI,Blot,2002,01/92-12/98,Retrospective cohort study,Belgium,47,38,1,AMR,,,mean,sd,37,,,28.7,18,,,16.2,,,,,,,"APACHE II
score,
diagnostic
category",0,0,FALSE,FALSE,FALSE
naylor_24,"Branch-Elliman W, Lee GM, Golen TH, Gold HS, Baldini LM, Wright SB. Health and Economic Burden of Post-Partum Staphylococcus aureus Breast Abscess. PLoS ONE. 2013;8:1–7.",Staphylococcus aureus,sau,methicillin,SSTI,Branch-Elliman,2013,10/2003–9/2010,Cohort,USA,30,24,0,AMR,2012,USD,excess,95ci,507,-818,1842,,,,,,0.45,,,,,,Post-partum women,0,0,FALSE,FALSE,FALSE
cassini_24,"Brooklyn Antibiotic Resistance Task Force. The cost of antibiotic resistance: effect of resistance among Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, and Pseudmonas aeruginosa on length of hospital stay. Infection control and hospital epidemiology. Feb 2002;23(2):106-108.",Acinetobacter baumannii,aba,carbapenems,INF,BARTF,2002,3 months 1999,Matched case-control,USA,10,10,1,AMR,,,median,pvalue,31.5,,,,13,,,,0.02,,,,,,"after infection, matched on age, site of infection, underlying disease, opeartive procedure, type of infection. % breakdown of source",0,0,FALSE,FALSE,FALSE
cassini_24,"Brooklyn Antibiotic Resistance Task Force. The cost of antibiotic resistance: effect of resistance among Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, and Pseudmonas aeruginosa on length of hospital stay. Infection control and hospital epidemiology. Feb 2002;23(2):106-108.",Staphylococcus aureus,sau,methicillin,INF,BARTF,2002,3 months 1999,Matched case-control,USA,14,14,1,AMR,,,median,pvalue,18,,,,14,,,,0.04,,,,,,"after infection, matched on age, site of infection, underlying disease, opeartive procedure, type of infection. % breakdown of source",0,0,FALSE,FALSE,FALSE
cassini_24,"Brooklyn Antibiotic Resistance Task Force. The cost of antibiotic resistance: effect of resistance among Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, and Pseudmonas aeruginosa on length of hospital stay. Infection control and hospital epidemiology. Feb 2002;23(2):106-108.",Pseudomonas aeruginosa,pae,carbapenems,INF,BARTF,2002,3 months 1999,Matched case-control,USA,10,10,1,AMR,,,median,pvalue,33.5,,,,20,,,,0.002,,,,,,"after infection, matched on age, site of infection, underlying disease, opeartive procedure, type of infection. % breakdown of source",0,0,FALSE,FALSE,FALSE
cassini_24,"Brooklyn Antibiotic Resistance Task Force. The cost of antibiotic resistance: effect of resistance among Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, and Pseudmonas aeruginosa on length of hospital stay. Infection control and hospital epidemiology. Feb 2002;23(2):106-108.",Klebsiella pneumoniae,kpn,ESBL,INF,BARTF,2002,3 months 1999,Matched case-control,USA,9,9,1,AMR,,,median,pvalue,29,,,,11,,,,0.03,,,,,,"after infection, matched on age, site of infection, underlying disease, opeartive procedure, type of infection. % breakdown of source",0,0,FALSE,FALSE,FALSE
cassini_189,"Burke RE, Halpern MS, Baron EJ, Gutierrez K. Pediatric and neonatal Staphylococcus aureus bacteremia: epidemiology, risk factors, and outcome. Infection control and hospital epidemiology. Jul 2009;30(7):636-644.",Staphylococcus aureus,sau,methicillin,BSI,Burke,2009,2001-2006,Retrospective study,USA,29,121,1,AMR,,,median,IQR,38,16,73,,16,7,42,,0.003,,,,,,"age, note paediatric patients",0,0,FALSE,FALSE,FALSE
zhen_58,"Butler AM, Olsen MA, Merz LR, Guth RM, Woeltje KF, Camins BC, et al.
Attributable costs of Enterococcal bloodstream infections in a nonsurgical
hospital cohort. Infect Control Hosp Epidemiol. 2010;31:28–35.",Enterococcus,efa,vancomycin,BSI,Butler,2010,2002-2003,Cohort,USA,94,182,1,AMR,,,mean,95ci,2.3,1.8,2.8,,1.2,0.9,1.5,,,,,,,,using GLS regression,1,28,FALSE,FALSE,FALSE
zhen_58,"Butler AM, Olsen MA, Merz LR, Guth RM, Woeltje KF, Camins BC, et al.
Attributable costs of Enterococcal bloodstream infections in a nonsurgical
hospital cohort. Infect Control Hosp Epidemiol. 2010;31:28–35.",Enterococcus,efa,vancomycin,BSI,Butler,2010,2002-2003,Cohort,USA,94,182,0,AMR,2007,USD,mean,95ci,4479,3500,5732,,2250,1758,2880,,,,,,,,using GLS regression,1,28,FALSE,FALSE,FALSE
zhen_58,"Butler AM, Olsen MA, Merz LR, Guth RM, Woeltje KF, Camins BC, et al.
Attributable costs of Enterococcal bloodstream infections in a nonsurgical
hospital cohort. Infect Control Hosp Epidemiol. 2010;31:28–35.",Enterococcus,efa,vancomycin,BSI,Butler,2010,2002-2003,Cohort,USA,94,182,1,AMR,,,mean,95ci,2.2,1.7,2.7,,1.1,0.9,1.4,,,,,,,,GLS regression model with propensity weighting,1,29,FALSE,FALSE,FALSE
zhen_58,"Butler AM, Olsen MA, Merz LR, Guth RM, Woeltje KF, Camins BC, et al.
Attributable costs of Enterococcal bloodstream infections in a nonsurgical
hospital cohort. Infect Control Hosp Epidemiol. 2010;31:28–35.",Enterococcus,efa,vancomycin,BSI,Butler,2010,2002-2003,Cohort,USA,94,182,0,AMR,2007,USD,mean,95ci,4036,3170,5140,,2023,1588,2575,,,,,,,,GLS regression model with propensity weighting,1,29,FALSE,FALSE,FALSE
cassini_119,"Candevir Ulu A, Kurtaran B, Inal AS, et al. Risk factors of carbapenem-resistant Klebsiella pneumoniae infection: a serious threat in ICUs. Medical science monitor : international medical journal of experimental and clinical research. 2015;21:219-224.",Klebsiella pneumoniae,kpn,carbapenems,INF,Candevir ulu,2014,01/12-12/12,Retrospective cohort study,Turkey,47,51,1,AMR,,,mean,sd,37.3,,,50.838,29.94,,,94.558,0.026,1,280,3,682,,"ICU, gives count breakdown of source",0,0,FALSE,FALSE,FALSE
zhen_66,"Carmeli Y, Eliopoulos G,Mozaffari E, Samore M. Health and economic outcomes
of vancomycin-resistant enterococci. Arch Intern Med. 2002;162:2223–8.",Enterococcus,efa,vancomycin,UTI,Carmeli,2002,10/93-12/97,Retrospective ,USA,72,647,0,DRI,1997,USD,excess,pvalue,6665,,,,,,,,0.02,,,,,,sample size derived using percentages given ,0,0,FALSE,FALSE,FALSE
zhen_66,"Carmeli Y, Eliopoulos G,Mozaffari E, Samore M. Health and economic outcomes
of vancomycin-resistant enterococci. Arch Intern Med. 2002;162:2223–8.",Enterococcus,efa,vancomycin,IAI,Carmeli,2002,10/93-12/97,Retrospective ,USA,40,647,1,DRI,,,excess,pvalue,2.6,,,,,,,,0.06,,,,,,sample size derived using percentages given ,1,84,FALSE,FALSE,FALSE
zhen_66,"Carmeli Y, Eliopoulos G,Mozaffari E, Samore M. Health and economic outcomes
of vancomycin-resistant enterococci. Arch Intern Med. 2002;162:2223–8.",Enterococcus,efa,vancomycin,IAI,Carmeli,2002,10/93-12/97,Retrospective ,USA,40,647,0,DRI,1997,USD,excess,pvalue,22896,,,,,,,,0.01,,,,,,sample size derived using percentages given ,1,84,FALSE,FALSE,FALSE
zhen_66,"Carmeli Y, Eliopoulos G,Mozaffari E, Samore M. Health and economic outcomes
of vancomycin-resistant enterococci. Arch Intern Med. 2002;162:2223–8.",Enterococcus,efa,vancomycin,BSI,Carmeli,2002,10/93-12/97,Retrospective ,USA,21,647,1,DRI,,,excess,pvalue,15,,,,,,,,0.07,,,,,,sample size derived using percentages given ,1,86,FALSE,FALSE,FALSE
zhen_66,"Carmeli Y, Eliopoulos G,Mozaffari E, Samore M. Health and economic outcomes
of vancomycin-resistant enterococci. Arch Intern Med. 2002;162:2223–8.",Enterococcus,efa,vancomycin,BSI,Carmeli,2002,10/93-12/97,Retrospective ,USA,21,647,0,DRI,1997,USD,excess,pvalue,13537,,,,,,,,0.3,,,,,,sample size derived using percentages given ,1,86,FALSE,FALSE,FALSE
naylor_26,"Casapao  a. M, Leonard SN, Davis SL, Lodise TP, Patel N, Goff D a., et al. Clinical Outcomes in Patients with Heterogeneous Vancomycin-Intermediate Staphylococcus aureus Bloodstream Infection. Antimicrobial Agents and Chemotherapy. 2013;57:4252–9. ",Staphylococcus aureus,sau,vancomycin,BSI,Casapao,2013,01/04 - 08/12,Cohort,USA,61,61,1,AMR,,,median,IQR,22,12,39,,13,9,28,,0.021,,,,,,"length of stay after positive blood culture, all adults",0,0,FALSE,FALSE,FALSE
cassini_12,"Chang HC, Chen YC, Lin MC, et al. Mortality risk factors in patients with Acinetobacter baumannii ventilator: associated pneumonia. Journal of the Formosan Medical Association = Taiwan yi zhi. Sep 2011;110(9):564-571.",Acinetobacter baumannii,aba,carbapenems,RTI,Chang,2011,01/05-12/07,Retrospective observational,Taiwan,93,87,1,AMR,,,median,sd,23.1,,,24.3,26.7,,,24.3,0.331,,,,,,critically ill patients,0,0,FALSE,FALSE,TRUE
cassini_51,"Chang HJ, Hsu PC, Yang CC, et al. Risk factors and outcomes of carbapenem-nonsusceptible Escherichia coli bacteremia: A matched case-control study. Journal of Microbiology, Immunology and Infection. 2011;44(2):125-130",Escherichia coli,eco,carbapenems,BSI,Chang,2011,01/06-12/08,Matched case-control,Taiwan,17,34,1,AMR,,,mean,sd,68.4,,,56.4,35.8,,,34.5,,,,,,,"matched on gender, age, year of hosp, length stay before isolation",0,0,FALSE,FALSE,FALSE
cassini_328,"Cheah AL, Spelman T, Liew D, et al. Enterococcal bacteraemia: factors influencing mortality, length of stay and costs of hospitalization. Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases. Apr 2013;19(4):E181-189",Enterococcus faecium,efa,vancomycin,BSI,Cheah,2013,2002 - 2010,Retrospective matched cohort,Australia,116,116,1,AMR,,,excess,95ci,4.89,0.56,11.52,,,,,,,,,,,,matched on date and unit of admission,1,52,FALSE,FALSE,FALSE
cassini_328,"Cheah AL, Spelman T, Liew D, et al. Enterococcal bacteraemia: factors influencing mortality, length of stay and costs of hospitalization. Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases. Apr 2013;19(4):E181-189",Enterococcus faecium,efa,vancomycin,BSI,Cheah,2013,2002 - 2010,Retrospective matched cohort,Australia,116,116,0,AMR,2011,AUD,excess,95ci,28872,734,70667,,,,,,,,,,,,matched on date and unit of admission,1,52,FALSE,FALSE,FALSE
founou_48,"Chen R, Yan ZQ, Feng D, Luo YP, Wang LL, Shen DX. Nosocomial bloodstream infection in patients
caused by Staphylococcus aureus: drug susceptibility, outcome, and risk factors for hospital mortality.
Chin Med J (Engl). 2012; 125(2):226±9.",Staphylococcus aureus,sau,methicillin,BSI,Chen,2012,01/2006-05/2011,Retrospective > 1 year old,China,75,43,1,AMR,,,mean,sd,55.3,,,44.4,38.7,,,31.3,0.0328,,,,,,Various,0,0,FALSE,FALSE,FALSE
zhen_91,"Chen Z, Xu Z, Wu H, Chen L, Gao S, Chen Y. The impact of carbapenemresistant
Pseudomonas aeruginosa on clinical and economic outcomes in a
Chinese tertiary care hospital: a propensity score-matched analysis. Am J
Infect Control. 2018;47:677-82.",Pseudomonas aeruginosa,pae,carbapenems,COL/INF,Chen,2018,01/2014-03/2018,Retrospective matched cohort,China,270,270,1,AMR,,,median,IQR,18.5,8,30,,14,7,28,,0.29,,,,,,"after infection, 84% of CR and 93% of CS had infections",1,36,FALSE,FALSE,FALSE
zhen_91,"Chen Z, Xu Z, Wu H, Chen L, Gao S, Chen Y. The impact of carbapenemresistant
Pseudomonas aeruginosa on clinical and economic outcomes in a
Chinese tertiary care hospital: a propensity score-matched analysis. Am J
Infect Control. 2018;47:677-82.",Pseudomonas aeruginosa,pae,carbapenems,COL/INF,Chen,2018,01/2014-03/2018,Retrospective matched cohort,China,270,270,0,AMR,2018,USD,median,IQR,6082,3333.1,12662.6,,4954.2,2755.9,162.1,,0.15,,,,,,"total hospital stay cost, 84% of CR and 93% of CS had infections",1,36,FALSE,FALSE,FALSE
zhen_87,"Cornejo-Juarez P, Suarez-Cuenca JA, Volkow-Fernandez P, Silva-Sanchez J,
Barrios-Camacho H, Najera-Leon E, et al. Fecal ESBL Escherichia coli carriage
as a risk factor for bacteremia in patients with hematological malignancies.
Support Care Cancer. 2016;24:253–9",Escherichia coli,eco,ESBL,COL/INF,Cornejo-Juarez,2016,10/2012-01/2014,Prospective cohort study,Mexico,63,63,1,AMR,,,mean,sd,64,,,39,48,,,32,,,,,,0.01,"cancer patients, patients with hematologic malignancies (HM) and severe neutropenia, a proportion went on to develop BSI",1,37,FALSE,FALSE,FALSE
