,iso3c,Medicine,Form,Dose,generic.adj,UK.adj,SA.adj,India.adj
77,ALB,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.847465196
78,ALB,erythromycin,powder,forinjection500mg,NA,12.97168875,NA,NA
79,ALB,fluconazole,1,mlvial2mg,0.706187135,0.011665188,NA,0
80,ALB,gentamicin,2,mlvial20mg,NA,1.668121845,NA,0.046660751
81,ALB,gentamicin,2,mlvial80mg,NA,0.909884643,0.268299318,0.046660751
82,ALB,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.84951195,3.639538571,13.83491265
83,ALB,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.819769286,9.915409569
84,ALB,kanamycin,powder,forinjection1g,NA,NA,NA,0.501603072
85,ALB,streptomycin,powder,forinjection1000mg,NA,NA,0.338290444,0.069991126
86,ALB,streptomycin,powder,forinjection1000mg,NA,NA,0.338290444,0.069991126
87,ALB,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.292527913,2.694658365,NA,NA
88,ALB,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.302746617,5.38931673,NA,NA
89,ALB,vancomycin,powder,forinjection250mg,1.058930746,0.839893516,1.02653652,0.326625256
90,ALB,metronidazole,100ml,vial500mg,0.715309311,0.548263823,0.10498669,0.007185756
91,AND,amikacin,powder,forinjection1000mg,NA,24.99259301,0.576832822,0.283172476
92,AND,amikacin,powder,forinjection100mg,NA,2.49611294,0.346099693,0.052439347
93,AND,amikacin,powder,forinjection500mg,NA,12.50154044,0.293660346,0.146830173
94,AND,ampicillin,powder,forinjection1000mg,0.675576114,21.35330229,1.269032209,0.136342303
95,AND,ampicillin,powder,forinjection500mg,0.655040865,10.67665115,0.639760039,0.062927217
96,AND,cefazolin,powder,forinjection1000mg,0.846517898,NA,0.555857083,0.272684607
97,AND,cefotaxime,powder,forinjection250mg,0.672681462,1.373910904,0.157318042,0.062927217
98,AND,ceftazidime,powder,forinjection1000mg,1.236131762,1.03829908,1.856352901,0.377563302
99,AND,ceftazidime,powder,forinjection250mg,0.784922641,1.856352901,0.461466258,0.377563302
100,AND,ceftriaxone,powder,forinjection1000mg,0.900236766,0.671223648,0.461466258,0.157318042
101,AND,ceftriaxone,powder,forinjection250mg,0.70094627,1.499765338,0.283172476,0.083902956
102,AND,chloramphenicol,2,mlampoule1000mg,0.475834639,NA,NA,0.146830173
103,AND,chloramphenicol,powder,forinjection1000mg,0.856544302,1.898304379,NA,0.146830173
104,AND,ciprofloxacin,2,mg,0.63522928,0.010487869,NA,0
105,AND,clindamycin,1,mlinjection150mg,NA,0.388051171,NA,1.269032209
106,AND,cloxacillin,powder,forinjection500mg,0.652219628,NA,0.933420385,0.125854434
107,AND,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.156379394
108,AND,erythromycin,powder,forinjection500mg,NA,11.66251088,NA,NA
109,AND,fluconazole,1,mlvial2mg,0.634914644,0.010487869,NA,0
110,AND,gentamicin,2,mlvial20mg,NA,1.499765338,NA,0.041951478
111,AND,gentamicin,2,mlvial80mg,NA,0.818053821,0.241220998,0.041951478
112,AND,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.460996934,3.272215283,12.43861322
113,AND,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.636107641,8.914689072
114,AND,kanamycin,powder,forinjection1g,NA,NA,NA,0.450978388
115,AND,streptomycin,powder,forinjection1000mg,NA,NA,0.304148215,0.062927217
116,AND,streptomycin,powder,forinjection1000mg,NA,NA,0.304148215,0.062927217
117,AND,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.263004303,2.422697854,NA,NA
118,AND,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.272191677,4.845395707,NA,NA
119,AND,vancomycin,powder,forinjection250mg,0.952057329,0.755126604,0.922932516,0.293660346
120,AND,metronidazole,100ml,vial500mg,0.643116157,0.492929866,0.094390825,0.006460528
121,ARE,amikacin,powder,forinjection1000mg,NA,26.68574645,0.61591106,0.302356338
122,ARE,amikacin,powder,forinjection100mg,NA,2.66521513,0.369546636,0.055991915
123,ARE,amikacin,powder,forinjection500mg,NA,13.34847242,0.313554721,0.156777361
124,ARE,ampicillin,powder,forinjection1000mg,0.721343835,22.79990759,1.355004331,0.145578978
125,ARE,ampicillin,powder,forinjection500mg,0.699417401,11.39995379,0.683101357,0.067190297
126,ARE,cefazolin,powder,forinjection1000mg,0.903866277,NA,0.593514294,0.291157955
127,ARE,cefotaxime,powder,forinjection250mg,0.718253081,1.46698816,0.167975744,0.067190297
128,ARE,ceftazidime,powder,forinjection1000mg,1.319875004,1.108639907,1.982113773,0.403141784
129,ARE,ceftazidime,powder,forinjection250mg,0.838098175,1.982113773,0.492728848,0.403141784
130,ARE,ceftriaxone,powder,forinjection1000mg,0.961224395,0.716696506,0.492728848,0.167975744
131,ARE,ceftriaxone,powder,forinjection250mg,0.748432723,1.601368755,0.302356338,0.089587063
132,ARE,chloramphenicol,2,mlampoule1000mg,0.508070632,NA,NA,0.156777361
133,ARE,chloramphenicol,powder,forinjection1000mg,0.914571932,2.026907305,NA,0.156777361
134,ARE,ciprofloxacin,2,mg,0.678263656,0.011198383,NA,0
135,ARE,clindamycin,1,mlinjection150mg,NA,0.414340167,NA,1.355004331
136,ARE,cloxacillin,powder,forinjection500mg,0.696405036,NA,0.996656078,0.134380595
137,ARE,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.573450763
138,ARE,erythromycin,powder,forinjection500mg,NA,12.45260179,NA,NA
139,ARE,fluconazole,1,mlvial2mg,0.677927704,0.011198383,NA,0
140,ARE,gentamicin,2,mlvial20mg,NA,1.601368755,NA,0.044793532
141,ARE,gentamicin,2,mlvial80mg,NA,0.873473866,0.257562807,0.044793532
142,ARE,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.695466357,3.493895465,13.28128212
143,ARE,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.746947733,9.518625466
144,ARE,kanamycin,powder,forinjection1g,NA,NA,NA,0.481530465
145,ARE,streptomycin,powder,forinjection1000mg,NA,NA,0.324753104,0.067190297
146,ARE,streptomycin,powder,forinjection1000mg,NA,NA,0.324753104,0.067190297
147,ARE,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.280821848,2.58682645,NA,NA
148,ARE,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.290631631,5.1736529,NA,NA
149,ARE,vancomycin,powder,forinjection250mg,1.016555605,0.806283569,0.985457695,0.313554721
150,ARE,metronidazole,100ml,vial500mg,0.686684839,0.526323996,0.100785446,0.006898204
151,ARG,amikacin,powder,forinjection1000mg,NA,19.62072303,0.452849252,0.222307814
152,ARG,amikacin,powder,forinjection100mg,NA,1.959602216,0.271709551,0.041168114
153,ARG,amikacin,powder,forinjection500mg,NA,9.814478326,0.230541437,0.115270719
154,ARG,ampicillin,powder,forinjection1000mg,0.53036881,16.76365593,0.996268354,0.107037096
155,ARG,ampicillin,powder,forinjection500mg,0.514247377,8.381827967,0.502250988,0.049401737
156,ARG,cefazolin,powder,forinjection1000mg,0.664568627,NA,0.436382006,0.214074192
157,ARG,cefotaxime,powder,forinjection250mg,0.52809633,1.078604581,0.123504341,0.049401737
158,ARG,ceftazidime,powder,forinjection1000mg,0.970439479,0.815128653,1.457351228,0.296410419
159,ARG,ceftazidime,powder,forinjection250mg,0.616212561,1.457351228,0.362279401,0.296410419
160,ARG,ceftriaxone,powder,forinjection1000mg,0.706741243,0.526951856,0.362279401,0.123504341
161,ARG,ceftriaxone,powder,forinjection250mg,0.550285943,1.177408054,0.222307814,0.065868982
162,ARG,chloramphenicol,2,mlampoule1000mg,0.373559464,NA,NA,0.115270719
163,ARG,chloramphenicol,powder,forinjection1000mg,0.672439971,1.490285719,NA,0.115270719
164,ARG,ciprofloxacin,2,mg,0.498694063,0.008233623,NA,0
165,ARG,clindamycin,1,mlinjection150mg,NA,0.304644042,NA,0.996268354
166,ARG,cloxacillin,powder,forinjection500mg,0.512032532,NA,0.732792425,0.098803473
167,ARG,dactinomycin,powder,forinjection500mcg,NA,NA,NA,4.833136558
168,ARG,erythromycin,powder,forinjection500mg,NA,9.155788506,NA,NA
169,ARG,fluconazole,1,mlvial2mg,0.498447054,0.008233623,NA,0
170,ARG,gentamicin,2,mlvial20mg,NA,1.177408054,NA,0.032934491
171,ARG,gentamicin,2,mlvial80mg,NA,0.642222575,0.189373323,0.032934491
172,ARG,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,2.71709551,2.5688903,9.76507659
173,ARG,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.28444515,6.998579343
174,ARG,kanamycin,powder,forinjection1g,NA,NA,NA,0.354045779
175,ARG,streptomycin,powder,forinjection1000mg,NA,NA,0.23877506,0.049401737
176,ARG,streptomycin,powder,forinjection1000mg,NA,NA,0.23877506,0.049401737
177,ARG,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.206474558,1.901966857,NA,NA
178,ARG,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.213687211,3.803933714,NA,NA
179,ARG,vancomycin,powder,forinjection250mg,0.747423573,0.592820839,0.724558803,0.230541437
180,ARG,metronidazole,100ml,vial500mg,0.504885747,0.38698027,0.074102605,0.005071912
181,ARM,amikacin,powder,forinjection1000mg,NA,25.38935647,0.585990183,0.287667908
182,ARM,amikacin,powder,forinjection100mg,NA,2.535739337,0.35159411,0.053271835
183,ARM,amikacin,powder,forinjection500mg,NA,12.70000542,0.298322275,0.149161137
184,ARM,ampicillin,powder,forinjection1000mg,0.686301048,21.69229113,1.289178402,0.138506771
185,ARM,ampicillin,powder,forinjection500mg,0.665439797,10.84614557,0.649916385,0.063926202
186,ARM,cefazolin,powder,forinjection1000mg,0.859956575,NA,0.564681449,0.277013541
187,ARM,cefotaxime,powder,forinjection250mg,0.683360443,1.395722072,0.159815504,0.063926202
188,ARM,ceftazidime,powder,forinjection1000mg,1.255755653,1.054782329,1.885822952,0.383557211
189,ARM,ceftazidime,powder,forinjection250mg,0.797383478,1.885822952,0.468792146,0.383557211
190,ARM,ceftriaxone,powder,forinjection1000mg,0.914528243,0.681879486,0.468792146,0.159815504
191,ARM,ceftriaxone,powder,forinjection250mg,0.712073962,1.523574476,0.287667908,0.085234936
192,ARM,chloramphenicol,2,mlampoule1000mg,0.483388629,NA,NA,0.149161137
193,ARM,chloramphenicol,powder,forinjection1000mg,0.87014215,1.92844042,NA,0.149161137
194,ARM,ciprofloxacin,2,mg,0.645313698,0.010654367,NA,0
195,ARM,clindamycin,1,mlinjection150mg,NA,0.394211578,NA,1.289178402
196,ARM,cloxacillin,powder,forinjection500mg,0.662573773,NA,0.94823866,0.127852404
197,ARM,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.254113406
198,ARM,erythromycin,powder,forinjection500mg,NA,11.84765606,NA,NA
199,ARM,fluconazole,1,mlvial2mg,0.644994067,0.010654367,NA,0
200,ARM,gentamicin,2,mlvial20mg,NA,1.523574476,NA,0.042617468
201,ARM,gentamicin,2,mlvial80mg,NA,0.831040623,0.24505044,0.042617468
202,ARM,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.515941097,3.324162492,12.63607922
203,ARM,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.662081246,9.056211917
204,ARM,kanamycin,powder,forinjection1g,NA,NA,NA,0.458137779
205,ARM,streptomycin,powder,forinjection1000mg,NA,NA,0.308976642,0.063926202
206,ARM,streptomycin,powder,forinjection1000mg,NA,NA,0.308976642,0.063926202
207,ARM,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.26717956,2.461158768,NA,NA
208,ARM,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.276512786,4.922317536,NA,NA
209,ARM,vancomycin,powder,forinjection250mg,0.96717147,0.767114421,0.937584293,0.298322275
210,ARM,metronidazole,100ml,vial500mg,0.653325782,0.500755247,0.095889303,0.00656309
211,ATG,amikacin,powder,forinjection1000mg,NA,24.72429526,0.57064047,0.280132594
212,ATG,amikacin,powder,forinjection100mg,NA,2.469316941,0.342384282,0.051876406
213,ATG,amikacin,powder,forinjection500mg,NA,12.36733527,0.290507875,0.145253938
214,ATG,ampicillin,powder,forinjection1000mg,0.668323743,21.12407266,1.255409033,0.134878656
215,ATG,ampicillin,powder,forinjection500mg,0.648008942,10.56203633,0.632892157,0.062251688
216,ATG,cefazolin,powder,forinjection1000mg,0.837430452,NA,0.549889907,0.269757313
217,ATG,cefotaxime,powder,forinjection250mg,0.665460165,1.359161846,0.155629219,0.062251688
218,ATG,ceftazidime,powder,forinjection1000mg,1.222861776,1.027152845,1.836424784,0.373510126
219,ATG,ceftazidime,powder,forinjection250mg,0.776496425,1.836424784,0.456512376,0.373510126
220,ATG,ceftriaxone,powder,forinjection1000mg,0.890572643,0.664018001,0.456512376,0.155629219
221,ATG,ceftriaxone,powder,forinjection250mg,0.693421548,1.483665221,0.280132594,0.08300225
222,ATG,chloramphenicol,2,mlampoule1000mg,0.470726511,NA,NA,0.145253938
223,ATG,chloramphenicol,powder,forinjection1000mg,0.847349221,1.877925909,NA,0.145253938
224,ATG,ciprofloxacin,2,mg,0.628410036,0.010375281,NA,0
225,ATG,clindamycin,1,mlinjection150mg,NA,0.383885407,NA,1.255409033
226,ATG,cloxacillin,powder,forinjection500mg,0.645217991,NA,0.923400033,0.124503375
227,ATG,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.090290104
228,ATG,erythromycin,powder,forinjection500mg,NA,11.53731277,NA,NA
229,ATG,fluconazole,1,mlvial2mg,0.628098777,0.010375281,NA,0
230,ATG,gentamicin,2,mlvial20mg,NA,1.483665221,NA,0.041501125
231,ATG,gentamicin,2,mlvial80mg,NA,0.809271939,0.238631469,0.041501125
232,ATG,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.423842818,3.237087755,12.30508358
233,ATG,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.618543878,8.818989077
234,ATG,kanamycin,powder,forinjection1g,NA,NA,NA,0.446137094
235,ATG,streptomycin,powder,forinjection1000mg,NA,NA,0.300883157,0.062251688
236,ATG,streptomycin,powder,forinjection1000mg,NA,NA,0.300883157,0.062251688
237,ATG,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.260180928,2.396689973,NA,NA
238,ATG,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.269269675,4.793379945,NA,NA
239,ATG,vancomycin,powder,forinjection250mg,0.941836908,0.747020251,0.913024751,0.290507875
240,ATG,metronidazole,100ml,vial500mg,0.636212247,0.48763822,0.093377531,0.006391173
241,AUS,amikacin,powder,forinjection1000mg,NA,24.33440454,0.561641733,0.275715033
242,AUS,amikacin,powder,forinjection100mg,NA,2.430376954,0.33698504,0.051058339
243,AUS,amikacin,powder,forinjection500mg,NA,12.1723081,0.2859267,0.14296335
244,AUS,ampicillin,powder,forinjection1000mg,0.657784586,20.79095579,1.235611813,0.132751682
245,AUS,ampicillin,powder,forinjection500mg,0.63779014,10.39547789,0.62291174,0.061270007
246,AUS,cefazolin,powder,forinjection1000mg,0.824224561,NA,0.541218397,0.265503365
247,AUS,cefotaxime,powder,forinjection250mg,0.654966166,1.337728491,0.153175018,0.061270007
248,AUS,ceftazidime,powder,forinjection1000mg,1.203577811,1.010955119,1.807465214,0.367620043
249,AUS,ceftazidime,powder,forinjection250mg,0.764251435,1.807465214,0.449313386,0.367620043
250,AUS,ceftriaxone,powder,forinjection1000mg,0.876528724,0.653546744,0.449313386,0.153175018
251,AUS,ceftriaxone,powder,forinjection250mg,0.682486611,1.460268506,0.275715033,0.081693343
252,AUS,chloramphenicol,2,mlampoule1000mg,0.463303371,NA,NA,0.14296335
253,AUS,chloramphenicol,powder,forinjection1000mg,0.833986915,1.848311885,NA,0.14296335
254,AUS,ciprofloxacin,2,mg,0.6185003,0.010211668,NA,0
255,AUS,clindamycin,1,mlinjection150mg,NA,0.377831711,NA,1.235611813
256,AUS,cloxacillin,powder,forinjection500mg,0.635043202,NA,0.908838441,0.122540014
257,AUS,dactinomycin,powder,forinjection500mcg,NA,NA,NA,5.994249042
258,AUS,erythromycin,powder,forinjection500mg,NA,11.35537468,NA,NA
259,AUS,fluconazole,1,mlvial2mg,0.61819395,0.010211668,NA,0
260,AUS,gentamicin,2,mlvial20mg,NA,1.460268506,NA,0.040846671
261,AUS,gentamicin,2,mlvial80mg,NA,0.796510094,0.234868361,0.040846671
262,AUS,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.369850398,3.186040376,12.1110381
263,AUS,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.593020188,8.679917692
264,AUS,kanamycin,powder,forinjection1g,NA,NA,NA,0.439101719
265,AUS,streptomycin,powder,forinjection1000mg,NA,NA,0.296138368,0.061270007
266,AUS,streptomycin,powder,forinjection1000mg,NA,NA,0.296138368,0.061270007
267,AUS,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.256077995,2.358895279,NA,NA
268,AUS,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.265023416,4.717790557,NA,NA
269,AUS,vancomycin,powder,forinjection250mg,0.926984575,0.735240087,0.898626773,0.2859267
270,AUS,metronidazole,100ml,vial500mg,0.626179474,0.47994839,0.091905011,0.006290387
271,AUT,amikacin,powder,forinjection1000mg,NA,25.2154129,0.581975539,0.285697083
272,AUT,amikacin,powder,forinjection100mg,NA,2.518366878,0.349185323,0.052906867
273,AUT,amikacin,powder,forinjection500mg,NA,12.61299714,0.296278456,0.148139228
274,AUT,ampicillin,powder,forinjection1000mg,0.68159917,21.54367632,1.280346186,0.137557855
275,AUT,ampicillin,powder,forinjection500mg,0.660880841,10.77183816,0.64546378,0.063488241
276,AUT,cefazolin,powder,forinjection1000mg,0.854064976,NA,0.560812792,0.275115709
277,AUT,cefotaxime,powder,forinjection250mg,0.678678711,1.38615992,0.158720602,0.063488241
278,AUT,ceftazidime,powder,forinjection1000mg,1.247152417,1.04755597,1.872903098,0.380929444
279,AUT,ceftazidime,powder,forinjection250mg,0.791920569,1.872903098,0.465580431,0.380929444
280,AUT,ceftriaxone,powder,forinjection1000mg,0.90826277,0.6772079,0.465580431,0.158720602
281,AUT,ceftriaxone,powder,forinjection250mg,0.707195512,1.513136401,0.285697083,0.084650987
282,AUT,chloramphenicol,2,mlampoule1000mg,0.480076913,NA,NA,0.148139228
283,AUT,chloramphenicol,powder,forinjection1000mg,0.864180769,1.915228592,NA,0.148139228
284,AUT,ciprofloxacin,2,mg,0.640892626,0.010581373,NA,0
285,AUT,clindamycin,1,mlinjection150mg,NA,0.391510817,NA,1.280346186
286,AUT,cloxacillin,powder,forinjection500mg,0.658034451,NA,0.941742236,0.126976481
287,AUT,dactinomycin,powder,forinjection500mcg,NA,NA,NA,6.211266207
288,AUT,erythromycin,powder,forinjection500mg,NA,11.76648726,NA,NA
289,AUT,fluconazole,1,mlvial2mg,0.640575185,0.010581373,NA,0
290,AUT,gentamicin,2,mlvial20mg,NA,1.513136401,NA,0.042325494
291,AUT,gentamicin,2,mlvial80mg,NA,0.825347128,0.243371589,0.042325494
292,AUT,imipenem/cilastatin,powder,forinjection500mg/500mg,NA,3.491853234,3.301388512,12.5495089
293,AUT,imipenem/cilastatin,powder,forinjection250mg/250mg,NA,NA,1.650694256,8.994167421
294,AUT,kanamycin,powder,forinjection1g,NA,NA,NA,0.454999058
295,AUT,streptomycin,powder,forinjection1000mg,NA,NA,0.30685983,0.063488241
296,AUT,streptomycin,powder,forinjection1000mg,NA,NA,0.30685983,0.063488241
297,AUT,sulfamethoxazole/trimethoprim,5,mlampoule400mg+80mg,0.265349102,2.444297264,NA,NA
298,AUT,sulfamethoxazole/trimethoprim,10ml,ampoule800mg+160mg,0.274618385,4.888594528,NA,NA
299,AUT,vancomycin,powder,forinjection250mg,0.960545336,0.761858887,0.931160862,0.296278456
300,AUT,metronidazole,100ml,vial500mg,0.648849819,0.497324552,0.095232361,0.006518126
301,AZE,amikacin,powder,forinjection1000mg,NA,29.09848821,0.671597504,0.32969332
302,AZE,amikacin,powder,forinjection100mg,NA,2.906185562,0.402958502,0.061054319
303,AZE,amikacin,powder,forinjection500mg,NA,14.55534954,0.341904184,0.170952092
304,AZE,ampicillin,powder,forinjection1000mg,0.786562786,24.86131851,1.477514509,0.158741228
305,AZE,ampicillin,powder,forinjection500mg,0.762653915,12.43065925,0.744862686,0.073265182
306,AZE,cefazolin,powder,forinjection1000mg,0.985587653,NA,0.647175776,0.317482456
307,AZE,cefotaxime,powder,forinjection250mg,0.783192587,1.599623146,0.183162956,0.073265182
308,AZE,ceftazidime,powder,forinjection1000mg,1.439209029,1.208875507,2.161322876,0.439591093
309,AZE,ceftazidime,powder,forinjection250mg,0.913873251,2.161322876,0.537278003,0.439591093
