"","syndrome","gram.stain","class","bacteria","bacteria.code","Country (ISO3 Code)","AMR_or_DRI","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","World Bank Income Status","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","adj.factor","Scenario 2 Mean Cost"
"14","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ITA","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,242,-3555,3991,NA,NA,NA,NA,NA,242,-3555,3991,1.87079156449068,694.731558606745
"15","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GNB","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,22,3,59,NA,NA,NA,NA,NA,22,3,59,2.68623198395786,81.0971036470729
"16","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BRA","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,222,-255,922,NA,NA,NA,NA,NA,222,-255,922,2.69094837960021,819.390540271247
"17","B-J","gp","penicillins","Streptococcus pneumoniae","spn","HTI","AMR","AMRO D","Latin America & Caribbean","PAHO","Low income","wbregion",1,48,-60,207,NA,NA,NA,NA,NA,48,-60,207,2.68623198395786,176.939135229977
"18","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GUY","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,232,-289,986,NA,NA,NA,NA,NA,232,-289,986,2.69094837960021,856.300024067249
"19","B-J","gp","penicillins","Streptococcus pneumoniae","spn","IRL","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,573,-5437,6496,NA,NA,NA,NA,NA,573,-5437,6496,1.87079156449068,1644.96356645316
"20","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BFA","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,21,3,54,NA,NA,NA,NA,NA,21,3,54,2.68623198395786,77.4108716631151
"21","B-J","gp","penicillins","Streptococcus pneumoniae","spn","AGO","AMR","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","income",1,205,70,476,NA,NA,NA,NA,NA,205,70,476,2.68623198395786,755.677556711361
"22","B-J","gp","penicillins","Streptococcus pneumoniae","spn","HND","AMR","AMRO B","Latin America & Caribbean","PAHO","Lower middle income","whoc",1,311,-323,1167,NA,NA,NA,NA,NA,311,-323,1167,2.68623198395786,1146.41814701089
"23","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MCO","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,2393,-22112,26946,NA,NA,NA,NA,NA,2393,-22112,26946,1.87079156449068,6869.8042138262
"24","B-J","gp","penicillins","Streptococcus pneumoniae","spn","IRN","AMR","EMRO E","Middle East & North Africa","EMRO","Upper middle income","income",1,3159,-4301,13093,NA,NA,NA,NA,NA,3159,-4301,13093,2.69094837960021,11659.7059311571
"25","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BOL","AMR","AMRO D","Latin America & Caribbean","PAHO","Lower middle income","income",1,165,53,392,NA,NA,NA,NA,NA,165,53,392,2.68623198395786,608.228277353047
"26","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CPV","AMR","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","income",1,134,44,287,NA,NA,NA,NA,NA,134,44,287,2.68623198395786,493.955085850353
"27","B-J","gp","penicillins","Streptococcus pneumoniae","spn","HRV","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,63,-1316,1438,NA,NA,NA,NA,NA,63,-1316,1438,1.87079156449068,180.859868562913
"28","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MDA","AMR","EURO C","Europe & Central Asia","EURO","Lower middle income","income",1,89,27,208,NA,NA,NA,NA,NA,89,27,208,2.68623198395786,328.07464657225
"29","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SVN","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,182,-2319,2697,NA,NA,NA,NA,NA,182,-2319,2697,1.87079156449068,522.484064737304
"30","B-J","gp","penicillins","Streptococcus pneumoniae","spn","IND","AMR","SEARO D","South Asia","SEARO","Lower middle income","whoc",1,68,24,170,NA,NA,NA,NA,NA,68,24,170,2.68623198395786,250.663774909134
"31","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MHL","AMR","WPRO B","East Asia & Pacific","WPRO","Upper middle income","income",1,349,-475,1405,NA,NA,NA,NA,NA,349,-475,1405,2.69094837960021,1288.14098448047
"32","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DEU","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,263,-4505,4782,NA,NA,NA,NA,NA,263,-4505,4782,1.87079156449068,755.018181461049
"33","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ISL","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,514,-6053,7308,NA,NA,NA,NA,NA,514,-6053,7308,1.87079156449068,1475.58686414821
"34","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ZMB","AMR","AFRO E","Sub-Saharan Africa","AFRO","Lower middle income","income",1,30,10,72,NA,NA,NA,NA,NA,30,10,72,2.68623198395786,110.586959518736
"35","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DOM","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,767,-805,2969,NA,NA,NA,NA,NA,767,-805,2969,2.69094837960021,2830.95740715336
"36","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BHS","AMR","AMRO B","Latin America & Caribbean","PAHO","High income","whoc",1,6724,-8460,29029,NA,NA,NA,NA,NA,6724,-8460,29029,1.87079156449068,19303.2024796353
"37","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TZA","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,25,4,62,NA,NA,NA,NA,NA,25,4,62,2.68623198395786,92.1557995989465
"38","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ETH","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,17,2,45,NA,NA,NA,NA,NA,17,2,45,2.68623198395786,62.6659437272836
"39","B-J","gp","penicillins","Streptococcus pneumoniae","spn","IDN","AMR","SEARO B","East Asia & Pacific","SEARO","Lower middle income","income",1,96,34,215,NA,NA,NA,NA,NA,96,34,215,2.68623198395786,353.878270459955
"40","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MEX","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,1670,-1985,7380,NA,NA,NA,NA,NA,1670,-1985,7380,2.69094837960021,6163.88379393235
"41","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DMA","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,1795,-2124,7214,NA,NA,NA,NA,NA,1795,-2124,7214,2.69094837960021,6625.25234138238
"42","B-J","gp","penicillins","Streptococcus pneumoniae","spn","IRQ","AMR","EMRO D","Middle East & North Africa","EMRO","Upper middle income","income",1,193,-278,857,NA,NA,NA,NA,NA,193,-278,857,2.69094837960021,712.353037262841
"43","B-J","gp","penicillins","Streptococcus pneumoniae","spn","AND","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,612,-5915,7665,NA,NA,NA,NA,NA,612,-5915,7665,1.87079156449068,1756.9244374683
"44","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ECU","AMR","AMRO D","Latin America & Caribbean","PAHO","Upper middle income","income",1,808,-1045,3278,NA,NA,NA,NA,NA,808,-1045,3278,2.69094837960021,2982.28629071697
"45","B-J","gp","penicillins","Streptococcus pneumoniae","spn","JAM","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,721,-958,2863,NA,NA,NA,NA,NA,721,-958,2863,2.69094837960021,2661.17378169175
"46","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GNQ","AMR","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","income",1,2594,-2862,10551,NA,NA,NA,NA,NA,2594,-2862,10551,2.69094837960021,9574.32009668294
"47","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BRB","AMR","AMRO B","Latin America & Caribbean","PAHO","High income","whoc",1,4647,-5975,20050,NA,NA,NA,NA,NA,4647,-5975,20050,1.87079156449068,13340.5684001882
"48","B-J","gp","penicillins","Streptococcus pneumoniae","spn","HUN","AMR","EURO C","Europe & Central Asia","EURO","High income","income",1,100,-1054,1484,NA,NA,NA,NA,NA,100,-1054,1484,1.87079156449068,287.079156449068
"49","B-J","gp","penicillins","Streptococcus pneumoniae","spn","JOR","AMR","EMRO E","Middle East & North Africa","EMRO","Upper middle income","income",1,435,-438,1861,NA,NA,NA,NA,NA,435,-438,1861,2.69094837960021,1605.56254512609
"50","B-J","gp","penicillins","Streptococcus pneumoniae","spn","DJI","AMR","EMRO D","Middle East & North Africa","EMRO","Lower middle income","income",1,155,52,351,NA,NA,NA,NA,NA,155,52,351,2.68623198395786,571.365957513468
"51","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BGD","AMR","SEARO D","South Asia","SEARO","Lower middle income","whoc",1,41,14,91,NA,NA,NA,NA,NA,41,14,91,2.68623198395786,151.135511342272
"52","B-J","gp","penicillins","Streptococcus pneumoniae","spn","VEN","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,2440,-3304,9590,NA,NA,NA,NA,NA,2440,-3304,9590,2.69094837960021,9005.91404622451
"53","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MLI","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,22,4,56,NA,NA,NA,NA,NA,22,4,56,2.68623198395786,81.0971036470729
"54","B-J","gp","penicillins","Streptococcus pneumoniae","spn","COG","AMR","AFRO E","Sub-Saharan Africa","AFRO","Lower middle income","income",1,117,38,263,NA,NA,NA,NA,NA,117,38,263,2.68623198395786,431.28914212307
"55","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TLS","AMR","SEARO B","East Asia & Pacific","SEARO","Lower middle income","income",1,51,19,113,NA,NA,NA,NA,NA,51,19,113,2.68623198395786,187.997831181851
"56","B-J","gp","penicillins","Streptococcus pneumoniae","spn","RUS","AMR","EURO C","Europe & Central Asia","EURO","Upper middle income","income",1,1933,-2356,7366,NA,NA,NA,NA,NA,1933,-2356,7366,2.69094837960021,7134.60321776721
"57","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CRI","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,1437,-1883,6218,NA,NA,NA,NA,NA,1437,-1883,6218,2.69094837960021,5303.8928214855
"58","B-J","gp","penicillins","Streptococcus pneumoniae","spn","KAZ","AMR","EURO C","Europe & Central Asia","EURO","Upper middle income","income",1,860,-732,3590,NA,NA,NA,NA,NA,860,-732,3590,2.69094837960021,3174.21560645618
"59","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MDG","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,12,1,30,NA,NA,NA,NA,NA,12,1,30,2.68623198395786,44.2347838074943
"60","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SWE","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,299,-5109,5950,NA,NA,NA,NA,NA,299,-5109,5950,1.87079156449068,858.366677782713
"61","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SLV","AMR","AMRO B","Latin America & Caribbean","PAHO","Lower middle income","whoc",1,548,-661,2196,NA,NA,NA,NA,NA,548,-661,2196,2.68623198395786,2020.05512720891
"62","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MKD","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,809,-1115,3396,NA,NA,NA,NA,NA,809,-1115,3396,2.69094837960021,2985.97723909657
"63","B-J","gp","penicillins","Streptococcus pneumoniae","spn","COD","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,8,1,21,NA,NA,NA,NA,NA,8,1,21,2.68623198395786,29.4898558716629
"64","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TKM","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,1506,-1910,6348,NA,NA,NA,NA,NA,1506,-1910,6348,2.69094837960021,5558.56825967792
"65","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ROU","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,1313,-1526,5215,NA,NA,NA,NA,NA,1313,-1526,5215,2.69094837960021,4846.21522241508
"66","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ERI","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,19,2,51,NA,NA,NA,NA,NA,19,2,51,2.68623198395786,70.0384076951993
"67","B-J","gp","penicillins","Streptococcus pneumoniae","spn","JPN","AMR","WPRO A","East Asia & Pacific","WPRO","High income","income",1,255,-3853,4810,NA,NA,NA,NA,NA,255,-3853,4810,1.87079156449068,732.051848945123
"68","B-J","gp","penicillins","Streptococcus pneumoniae","spn","UGA","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,17,2,45,NA,NA,NA,NA,NA,17,2,45,2.68623198395786,62.6659437272836
"69","B-J","gp","penicillins","Streptococcus pneumoniae","spn","FIN","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,425,-4854,6240,NA,NA,NA,NA,NA,425,-4854,6240,1.87079156449068,1220.08641490854
"70","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SLE","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,16,2,40,NA,NA,NA,NA,NA,16,2,40,2.68623198395786,58.9797117433258
"71","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SYR","AMR","EMRO E","Middle East & North Africa","EMRO","Low income","global",3,370,50,943,NA,NA,NA,NA,NA,370,50,943,2.68623198395786,1363.90583406441
"72","B-J","gp","penicillins","Streptococcus pneumoniae","spn","PHL","AMR","WPRO B","East Asia & Pacific","WPRO","Lower middle income","income",1,102,37,222,NA,NA,NA,NA,NA,102,37,222,2.68623198395786,375.995662363702
"73","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TJK","AMR","EURO B","Europe & Central Asia","EURO","Low income","global",3,22,3,57,NA,NA,NA,NA,NA,22,3,57,2.68623198395786,81.0971036470729
"74","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ARE","AMR","EMRO E","Middle East & North Africa","EMRO","High income","income",1,262,-2775,3381,NA,NA,NA,NA,NA,262,-2775,3381,1.87079156449068,752.147389896558
"75","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BLZ","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,786,-846,3074,NA,NA,NA,NA,NA,786,-846,3074,2.69094837960021,2901.08542636577
"76","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TTO","AMR","AMRO B","Latin America & Caribbean","PAHO","High income","whoc",1,3205,-3616,13111,NA,NA,NA,NA,NA,3205,-3616,13111,1.87079156449068,9200.88696419263
"77","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GRC","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,227,-2182,2888,NA,NA,NA,NA,NA,227,-2182,2888,1.87079156449068,651.669685139384
"78","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BRN","AMR","WPRO A","East Asia & Pacific","WPRO","High income","income",1,164,-2558,2957,NA,NA,NA,NA,NA,164,-2558,2957,1.87079156449068,470.809816576472
"79","B-J","gp","penicillins","Streptococcus pneumoniae","spn","LTU","AMR","EURO C","Europe & Central Asia","EURO","High income","income",1,47,-1299,1300,NA,NA,NA,NA,NA,47,-1299,1300,1.87079156449068,134.927203531062
"80","B-J","gp","penicillins","Streptococcus pneumoniae","spn","USA","AMR","AMRO A","North America","PAHO","High income","whoc",1,518,-6370,7506,NA,NA,NA,NA,NA,518,-6370,7506,1.87079156449068,1487.07003040617
"81","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SLB","AMR","WPRO B","East Asia & Pacific","WPRO","Lower middle income","income",1,165,55,362,NA,NA,NA,NA,NA,165,55,362,2.68623198395786,608.228277353047
"82","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BGR","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,1316,-1332,5190,NA,NA,NA,NA,NA,1316,-1332,5190,2.69094837960021,4857.28806755388
"83","B-J","gp","penicillins","Streptococcus pneumoniae","spn","VNM","AMR","WPRO B","East Asia & Pacific","WPRO","Lower middle income","income",1,81,28,181,NA,NA,NA,NA,NA,81,28,181,2.68623198395786,298.584790700587
"84","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MLT","AMR","EURO A","Middle East & North Africa","EURO","High income","income",1,130,-2401,2666,NA,NA,NA,NA,NA,130,-2401,2666,1.87079156449068,373.202903383788
"85","B-J","gp","penicillins","Streptococcus pneumoniae","spn","COK","AMR","WPRO B",NA,"WPRO",NA,"global",3,676,115,1758,NA,NA,NA,NA,NA,676,115,1758,NA,NA
"86","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TON","AMR","WPRO B","East Asia & Pacific","WPRO","Upper middle income","income",1,745,-826,3022,NA,NA,NA,NA,NA,745,-826,3022,2.69094837960021,2749.75654280216
"87","B-J","gp","penicillins","Streptococcus pneumoniae","spn","RWA","AMR","AFRO E","Sub-Saharan Africa","AFRO","Low income","global",3,20,3,50,NA,NA,NA,NA,NA,20,3,50,2.68623198395786,73.7246396791572
"88","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CUB","AMR","AMRO A","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,21,-359,391,NA,NA,NA,NA,NA,21,-359,391,2.69094837960021,77.5099159716044
"89","B-J","gp","penicillins","Streptococcus pneumoniae","spn","KEN","AMR","AFRO E","Sub-Saharan Africa","AFRO","Lower middle income","income",1,55,18,127,NA,NA,NA,NA,NA,55,18,127,2.68623198395786,202.742759117682
"90","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MDV","AMR","SEARO D","South Asia","SEARO","Upper middle income","whoc",1,439,147,999,NA,NA,NA,NA,NA,439,147,999,2.69094837960021,1620.32633864449
"91","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SWZ","AMR","AFRO E","Sub-Saharan Africa","AFRO","Lower middle income","income",1,157,55,354,NA,NA,NA,NA,NA,157,55,354,2.68623198395786,578.738421481384
"92","B-J","gp","penicillins","Streptococcus pneumoniae","spn","SMR","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,577,-6878,8469,NA,NA,NA,NA,NA,577,-6878,8469,1.87079156449068,1656.44673271112
"93","B-J","gp","penicillins","Streptococcus pneumoniae","spn","PRT","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,154,-2148,2414,NA,NA,NA,NA,NA,154,-2148,2414,1.87079156449068,442.101900931565
"94","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CHN","AMR","WPRO B","East Asia & Pacific","WPRO","Upper middle income","income",1,701,-760,2582,NA,NA,NA,NA,NA,701,-760,2582,2.69094837960021,2587.35481409975
"95","B-J","gp","penicillins","Streptococcus pneumoniae","spn","NIC","AMR","AMRO D","Latin America & Caribbean","PAHO","Lower middle income","income",1,97,31,223,NA,NA,NA,NA,NA,97,31,223,2.68623198395786,357.564502443912
"96","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ARM","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,348,-448,1275,NA,NA,NA,NA,NA,348,-448,1275,2.69094837960021,1284.45003610087
"97","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ESP","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,237,-2678,3474,NA,NA,NA,NA,NA,237,-2678,3474,1.87079156449068,680.377600784291
"98","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TUR","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,1054,-1241,4464,NA,NA,NA,NA,NA,1054,-1241,4464,2.69094837960021,3890.25959209862
"99","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BWA","AMR","AFRO E","Sub-Saharan Africa","AFRO","Upper middle income","income",1,1163,-1339,4532,NA,NA,NA,NA,NA,1163,-1339,4532,2.69094837960021,4292.57296547504
"100","B-J","gp","penicillins","Streptococcus pneumoniae","spn","UKR","AMR","EURO C","Europe & Central Asia","EURO","Lower middle income","income",1,191,68,421,NA,NA,NA,NA,NA,191,68,421,2.68623198395786,704.070308935951
"101","B-J","gp","penicillins","Streptococcus pneumoniae","spn","LVA","AMR","EURO C","Europe & Central Asia","EURO","High income","income",1,112,-1094,1449,NA,NA,NA,NA,NA,112,-1094,1449,1.87079156449068,321.528655222956
"102","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TCD","AMR","AFRO D","Sub-Saharan Africa","AFRO","Low income","global",3,25,4,68,NA,NA,NA,NA,NA,25,4,68,2.68623198395786,92.1557995989465
"103","B-J","gp","penicillins","Streptococcus pneumoniae","spn","CHL","AMR","AMRO B","Latin America & Caribbean","PAHO","High income","whoc",1,2383,-2858,10177,NA,NA,NA,NA,NA,2383,-2858,10177,1.87079156449068,6841.09629818129
"104","B-J","gp","penicillins","Streptococcus pneumoniae","spn","NGA","AMR","AFRO D","Sub-Saharan Africa","AFRO","Lower middle income","income",1,66,21,140,NA,NA,NA,NA,NA,66,21,140,2.68623198395786,243.291310941219
"105","B-J","gp","penicillins","Streptococcus pneumoniae","spn","ARG","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,1646,-1833,6832,NA,NA,NA,NA,NA,1646,-1833,6832,2.69094837960021,6075.30103282195
"106","B-J","gp","penicillins","Streptococcus pneumoniae","spn","MNE","AMR","EURO B","Europe & Central Asia","EURO","Upper middle income","income",1,2706,-3205,10830,NA,NA,NA,NA,NA,2706,-3205,10830,2.69094837960021,9987.70631519817
"107","B-J","gp","penicillins","Streptococcus pneumoniae","spn","TUN","AMR","EMRO E","Middle East & North Africa","EMRO","Lower middle income","income",1,217,72,478,NA,NA,NA,NA,NA,217,72,478,2.68623198395786,799.912340518856
"108","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GRD","AMR","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","whoc",1,1465,-1435,5953,NA,NA,NA,NA,NA,1465,-1435,5953,2.69094837960021,5407.23937611431
"109","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BTN","AMR","SEARO D","South Asia","SEARO","Lower middle income","whoc",1,456,157,1061,NA,NA,NA,NA,NA,456,157,1061,2.68623198395786,1680.92178468478
"110","B-J","gp","penicillins","Streptococcus pneumoniae","spn","LUX","AMR","EURO A","Europe & Central Asia","EURO","High income","income",1,1149,-14252,16470,NA,NA,NA,NA,NA,1149,-14252,16470,1.87079156449068,3298.53950759979
"111","B-J","gp","penicillins","Streptococcus pneumoniae","spn","UZB","AMR","EURO B","Europe & Central Asia","EURO","Lower middle income","income",1,228,75,505,NA,NA,NA,NA,NA,228,75,505,2.68623198395786,840.460892342392
"112","B-J","gp","penicillins","Streptococcus pneumoniae","spn","GAB","AMR","AFRO D","Sub-Saharan Africa","AFRO","Upper middle income","income",1,1279,-1342,5234,NA,NA,NA,NA,NA,1279,-1342,5234,2.69094837960021,4720.72297750867
"113","B-J","gp","penicillins","Streptococcus pneumoniae","spn","BHR","AMR","EMRO E","Middle East & North Africa","EMRO","High income","income",1,77,-1042,1202,NA,NA,NA,NA,NA,77,-1042,1202,1.87079156449068,221.050950465782
"114","B-J","gp","penicillins","Streptococcus pneumoniae","spn","VUT","AMR","WPRO B","East Asia & Pacific","WPRO","Lower middle income","income",1,327,115,761,NA,NA,NA,NA,NA,327,115,761,2.68623198395786,1205.39785875422
"115","B-J","gp","penicillins","Streptococcus pneumoniae","spn","EGY","AMR","EMRO D","Middle East & North Africa","EMRO","Lower middle income","income",1,127,44,291,NA,NA,NA,NA,NA,127,44,291,2.68623198395786,468.151461962648
