"","World Bank Income Status","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both","AMR_or_DRI","adj.factor","los.cost","Scenario 2 Mean Cost"
"17","High income","AND","EURO A","Europe & Central Asia","EURO","gn","carbapenems","UTI","whoc",1,4976,-1363,15205,NA,NA,NA,NA,NA,4976,-1363,15205,"AMR",2.09999563985153,4976,15425.5783039012
"18","High income","AND","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","UTI","income",1,649,-44948,55449,NA,NA,NA,NA,NA,649,-44948,55449,"AMR",2.09999563985153,649,2011.89717026364
"19","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","B-J","income",1,262,-2775,3381,NA,NA,NA,NA,NA,262,-2775,3381,"AMR",2.09999563985153,262,812.198857641101
"20","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","BSI","income",24,1631,528,3797,"income",8,280,-245,780,955,-147,3239,"AMR",2.09999563985153,1631,5056.09288859784
"21","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","BSI","income",10,2504,661,6240,NA,NA,NA,NA,NA,2504,661,6240,"AMR",2.09999563985153,2504,7762.38908218823
"22","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","BSI","income",14,3139,953,7045,"income",5,2859,-810,6568,2999,-56,6877,"AMR",2.09999563985153,3139,9730.88631349395
"23","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","BSI","income",25,1331,425,3028,"income",12,218,-86,532,775,-42,2706,"AMR",2.09999563985153,1331,4126.09419664239
"24","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","COL/INF","income",6,6070,1835,14992,"income",2,26617,-15411,71028,16344,-7583,62054,"AMR",2.09999563985153,6070,18816.9735338988
"25","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","COL/INF","income",14,3045,959,7440,"income",6,19270,-573,38540,11158,867,35199,"AMR",2.09999563985153,3045,9439.48672334791
"26","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","COL/INF","income",7,1980,121,6019,"income",4,21688,-1690,46391,11834,-58,41156,"AMR",2.09999563985153,1980,6137.99136690603
"27","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","COL/INF","income",13,1323,82,3424,"income",7,2977,-3798,9975,2150,-2891,8981,"AMR",2.09999563985153,1323,4101.29423152357
"28","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","RTI","income",6,-361,-1714,784,NA,NA,NA,NA,NA,-361,-1714,784,"AMR",2.09999563985153,-361,-1119.0984259864
"29","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","RTI","income",3,579,-3452,4890,"global",1,6193,-5846,18685,3386,-4613,16499,"AMR",2.09999563985153,579,1794.89747547404
"30","High income","ARE","EMRO E","Middle East & North Africa","EMRO","tb","mdr","RTI","income",3,57411,-15389,184047,"income",1,46531,-51228,138763,51971,-35686,160211,"AMR",2.09999563985153,57411,177973.849679516
"31","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","RTI","income",12,926,188,2388,"income",5,-730,-5010,3559,98,-4479,3142,"AMR",2.09999563985153,926,2870.59596250252
"32","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSI","income",2,2904,920,6855,"income",2,36885,-13199,84118,19895,-4776,77189,"AMR",2.09999563985153,2904,9002.38733812884
"33","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSTI","income",1,3487,930,8213,"income",1,585,-410,1718,2036,-301,7252,"AMR",2.09999563985153,3487,10809.6847961623
"34","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","UTI","income",4,1372,458,3174,"income",2,1597,-786,4154,1484,-522,3822,"AMR",2.09999563985153,1372,4253.1940178763
"35","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","UTI","income",2,3623,228,9773,NA,NA,NA,NA,NA,3623,228,9773,"AMR",2.09999563985153,3623,11231.2842031821
"36","High income","ARE","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","UTI","income",1,693,-20596,22497,NA,NA,NA,NA,NA,693,-20596,22497,"AMR",2.09999563985153,693,2148.29697841711
"37","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","B-J","whoc",1,2502,-3328,10295,NA,NA,NA,NA,NA,2502,-3328,10295,"AMR",2.09999563985153,2502,7756.18909090853
"38","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","BSI","whoc",2,2184,17,6468,"income",8,269,-232,758,1226,-195,4865,"AMR",2.09999563985153,2184,6770.39047743574
"39","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","BSI","whoc",2,55,-3541,3281,NA,NA,NA,NA,NA,55,-3541,3281,"AMR",2.09999563985153,55,170.499760191834
"40","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","BSI","income",14,1600,564,3615,"income",5,2900,-642,6549,2250,2,5824,"AMR",2.09999563985153,1600,4959.99302376245
"41","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","BSI","income",25,687,241,1547,"income",12,222,-99,536,454,-29,1329,"AMR",2.09999563985153,687,2129.697004578
"42","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","COL/INF","whoc",4,2160,867,4656,"whoc",1,1480,-1695,4500,1820,-1237,4606,"AMR",2.09999563985153,2160,6695.9905820793
"43","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","COL/INF","whoc",1,606,-462,2219,"whoc",1,2334,-2173,6858,1470,-1509,6235,"AMR",2.09999563985153,606,1878.59735775003
"44","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","COL/INF","income",7,1009,-46,2757,"income",4,21382,-2008,44242,11195,-152,41737,"AMR",2.09999563985153,1009,3127.89560061019
"45","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","COL/INF","whoc",1,198,78,427,"income",7,2989,-3892,10164,1594,-2961,9169,"AMR",2.09999563985153,198,613.799136690603
"46","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","RTI","income",6,-187,-931,446,NA,NA,NA,NA,NA,-187,-931,446,"AMR",2.09999563985153,-187,-579.699184652236
"47","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","RTI","income",3,261,-1895,2661,"global",1,6109,-7388,18948,3185,-4793,16688,"AMR",2.09999563985153,261,809.098862001249
"48","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","tb","mdr","RTI","income",3,29826,-11224,95643,"income",1,48012,-46598,143571,38919,-35024,133058,"AMR",2.09999563985153,29826,92460.4699542117
"49","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","RTI","income",12,477,93,1260,"income",5,-645,-4807,3811,-84,-4346,3143,"AMR",2.09999563985153,477,1478.69792020918
"50","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSI","income",2,1517,558,3751,"income",2,35741,-13941,87272,18629,-6498,77096,"AMR",2.09999563985153,1517,4702.69338565477
"51","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","penicillins","SSTI","income",1,1844,578,4248,"income",1,579,-539,1667,1212,-345,3588,"AMR",2.09999563985153,1844,5716.39195988622
"52","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","3g cephalosporins","UTI","income",4,708,248,1630,"income",2,1559,-710,3801,1133,-374,3518,"AMR",2.09999563985153,708,2194.79691301488
"53","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gn","carbapenems","UTI","income",2,1879,69,4905,NA,NA,NA,NA,NA,1879,69,4905,"AMR",2.09999563985153,1879,5824.89180728102
"54","High income","ATG","AMRO B","Latin America & Caribbean","PAHO","gp","glycopeptides","UTI","income",1,154,-11172,11714,NA,NA,NA,NA,NA,154,-11172,11714,"AMR",2.09999563985153,154,477.399328537136
"55","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","B-J","income",1,515,-6137,7816,NA,NA,NA,NA,NA,515,-6137,7816,"AMR",2.09999563985153,515,1596.49775452354
"56","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","BSI","income",24,3714,1166,9047,"income",8,272,-196,761,1993,-152,7112,"AMR",2.09999563985153,3714,11513.3838064086
"57","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","BSI","income",10,5681,1549,14050,NA,NA,NA,NA,NA,5681,1549,14050,"AMR",2.09999563985153,5681,17611.0752299965
"58","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","BSI","whoc",1,4307,-681,12762,"whoc",1,22069,-22123,67235,13188,-15295,60158,"AMR",2.09999563985153,4307,13351.6812208405
"59","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","BSI","whoc",3,2607,690,6824,"income",12,216,-82,533,1412,-37,5574,"AMR",2.09999563985153,2607,8081.68863309294
"60","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","COL/INF","income",6,13807,4498,33082,"income",2,25946,-18201,64852,19876,-9044,60087,"AMR",2.09999563985153,13807,42801.6397994301
"61","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","COL/INF","income",14,7086,2180,16777,"income",6,19615,1127,38033,13350,2010,35477,"AMR",2.09999563985153,7086,21966.5691039879
"62","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","COL/INF","income",7,4390,129,12581,"income",4,21537,-3745,45151,12963,-864,40112,"AMR",2.09999563985153,4390,13608.9808589482
"63","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","COL/INF","income",13,3089,294,8090,"income",7,3171,-3913,10567,3130,-2740,9990,"AMR",2.09999563985153,3089,9575.88653150138
"64","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","RTI","income",6,-813,-4003,1886,NA,NA,NA,NA,NA,-813,-4003,1886,"AMR",2.09999563985153,-813,-2520.29645519929
"65","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","RTI","income",3,1018,-7965,11234,"wbregion",1,6017,-6194,18838,3517,-7232,17127,"AMR",2.09999563985153,1018,3155.79556136886
"66","High income","AUS","WPRO A","East Asia & Pacific","WPRO","tb","mdr","RTI","whoc",1,11671,-139,32116,"income",1,47851,-42425,136470,29761,-31157,121161,"AMR",2.09999563985153,11671,36180.0491127072
"67","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","RTI","whoc",1,2859,333,8154,"income",5,-783,-5204,3432,1038,-4738,6531,"AMR",2.09999563985153,2859,8862.88753433552
"68","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","SSI","income",2,6760,2182,15834,"income",2,34924,-14857,87496,20842,-6459,78765,"AMR",2.09999563985153,6760,20955.9705253963
"69","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","penicillins","SSTI","income",1,8411,2253,20292,"income",1,599,-495,1740,4505,-333,16778,"AMR",2.09999563985153,8411,26074.0633267912
"70","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","3g cephalosporins","UTI","whoc",1,3816,1353,8992,"income",2,1496,-718,3815,2656,-404,7337,"AMR",2.09999563985153,3816,11829.5833616734
"71","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gn","carbapenems","UTI","income",2,8632,631,24982,NA,NA,NA,NA,NA,8632,631,24982,"AMR",2.09999563985153,8632,26759.1623631984
"72","High income","AUS","WPRO A","East Asia & Pacific","WPRO","gp","glycopeptides","UTI","income",1,2752,-48217,58303,NA,NA,NA,NA,NA,2752,-48217,58303,"AMR",2.09999563985153,2752,8531.18800087141
"73","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,304,-5359,5940,NA,NA,NA,NA,NA,304,-5359,5940,"AMR",2.09999563985153,304,942.398674514865
"74","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","whoc",13,3161,838,7515,"whoc",4,1415,-6499,9068,2288,-5302,8632,"AMR",2.09999563985153,3161,9799.08621757069
"75","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","carbapenems","BSI","whoc",5,5217,1069,13861,NA,NA,NA,NA,NA,5217,1069,13861,"AMR",2.09999563985153,5217,16172.6772531054
"76","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","BSI","whoc",2,10909,640,28636,"whoc",1,37954,-33971,110554,24432,-20870,96177,"AMR",2.09999563985153,10909,33817.8524351403
"77","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","BSI","whoc",6,1535,-5786,10110,"whoc",1,1717,-1505,5000,1626,-4036,7892,"AMR",2.09999563985153,1535,4758.4933071721
"78","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",6,11403,3220,28698,"income",2,25708,-18676,66710,18555,-10901,61387,"AMR",2.09999563985153,11403,35349.250281227
"79","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",1,4336,-1695,13821,"income",6,18767,281,36882,11552,-1335,33823,"AMR",2.09999563985153,4336,13441.5810943962
"80","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","whoc",1,7754,-1513,21803,"whoc",1,30373,-33357,94328,19064,-22144,86687,"AMR",2.09999563985153,7754,24037.3661914088
"81","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","COL/INF","whoc",2,7951,2775,17169,"whoc",2,9942,-4897,24597,8946,-2163,22268,"AMR",2.09999563985153,7951,24648.0653324595
"82","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","income",6,-681,-3711,1474,NA,NA,NA,NA,NA,-681,-3711,1474,"AMR",2.09999563985153,-681,-2111.09703073889
"83","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","carbapenems","RTI","whoc",2,4506,-1898,14891,"global",1,6131,-6055,18457,5319,-4351,17508,"AMR",2.09999563985153,4506,13968.580353171
"84","High income","AUT","EURO A","Europe & Central Asia","EURO","tb","mdr","RTI","whoc",1,47879,3627,125190,"income",1,46950,-41517,139740,47415,-31087,137529,"AMR",2.09999563985153,47879,148424.691240451
"85","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","RTI","whoc",3,9082,2821,21437,"whoc",1,34143,-37037,99024,21612,-23754,89237,"AMR",2.09999563985153,9082,28154.1604011316
"86","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSI","income",2,5523,1660,13472,"income",2,36366,-14467,84870,20945,-6449,78299,"AMR",2.09999563985153,5523,17121.2759189
"87","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSTI","income",1,6723,1873,16286,"income",1,556,-517,1661,4667,-222,14684,"AMR",2.09999563985153,6723,20841.2706867218
"88","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","whoc",1,2964,1037,6539,"whoc",1,1309,-1302,3799,2137,-913,5726,"AMR",2.09999563985153,2964,9188.38707651994
"89","High income","AUT","EURO A","Europe & Central Asia","EURO","gn","carbapenems","UTI","whoc",1,4341,-839,12489,NA,NA,NA,NA,NA,4341,-839,12489,"AMR",2.09999563985153,4341,13457.0810725955
"90","High income","AUT","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","UTI","income",1,1875,-34995,45387,NA,NA,NA,NA,NA,1875,-34995,45387,"AMR",2.09999563985153,1875,5812.49182472162
"91","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","B-J","income",1,394,-4788,5811,NA,NA,NA,NA,NA,394,-4788,5811,"AMR",2.09999563985153,394,1221.3982821015
"92","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","BSI","whoc",13,2999,778,7392,"whoc",4,1512,-6467,9439,2256,-4947,8691,"AMR",2.09999563985153,2999,9296.88692391474
"93","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","carbapenems","BSI","whoc",5,5055,994,13297,NA,NA,NA,NA,NA,5055,994,13297,"AMR",2.09999563985153,5055,15670.4779594495
"94","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","BSI","whoc",2,10476,905,29224,"whoc",1,37374,-37589,108110,23925,-22933,97947,"AMR",2.09999563985153,10476,32475.5543230846
"95","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","BSI","whoc",6,1620,-5381,9970,"whoc",1,1824,-1500,5202,1722,-3729,7875,"AMR",2.09999563985153,1620,5021.99293655948
"96","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","COL/INF","income",6,10849,3618,26081,"income",2,26043,-16579,69238,18446,-9389,64062,"AMR",2.09999563985153,10849,33631.8526967493
"97","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","carbapenems","COL/INF","whoc",1,4037,-1331,12213,"income",6,18977,472,38345,11507,-990,34642,"AMR",2.09999563985153,4037,12514.6823980806
"98","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","COL/INF","whoc",1,7552,-826,23649,"whoc",1,32547,-26737,93130,20050,-18812,83473,"AMR",2.09999563985153,7552,23411.1670721588
"99","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","COL/INF","whoc",2,7526,2971,16831,"whoc",2,10004,-3774,24074,8765,-1454,21748,"AMR",2.09999563985153,7526,23330.5671855226
"100","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","RTI","income",6,-664,-3252,1461,NA,NA,NA,NA,NA,-664,-3252,1461,"AMR",2.09999563985153,-664,-2058.39710486142
"101","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","carbapenems","RTI","whoc",2,4415,-1434,14689,"global",1,6197,-5692,18390,5306,-4378,17406,"AMR",2.09999563985153,4415,13686.4807499445
"102","High income","BEL","EURO A","Europe & Central Asia","EURO","tb","mdr","RTI","whoc",1,45816,3553,124215,"income",1,48289,-46542,131673,47052,-24988,129410,"AMR",2.09999563985153,45816,142029.400235438
"103","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","RTI","whoc",3,8533,2646,19873,"whoc",1,33545,-35837,97405,21039,-20100,87493,"AMR",2.09999563985153,8533,26452.2627948531
"104","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSI","income",2,5322,1842,13286,"income",2,37710,-12396,88207,21516,-4416,79540,"AMR",2.09999563985153,5322,16498.1767952898
"105","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","penicillins","SSTI","income",1,6391,1728,15140,"income",1,573,-545,1665,4451,-206,13957,"AMR",2.09999563985153,6391,19812.0721342911
"106","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","3g cephalosporins","UTI","whoc",1,2797,1076,6124,"whoc",1,1293,-1209,3919,2045,-881,5340,"AMR",2.09999563985153,2797,8670.68780466473
"107","High income","BEL","EURO A","Europe & Central Asia","EURO","gn","carbapenems","UTI","whoc",1,4156,-709,12902,NA,NA,NA,NA,NA,4156,-709,12902,"AMR",2.09999563985153,4156,12883.581879223
"108","High income","BEL","EURO A","Europe & Central Asia","EURO","gp","glycopeptides","UTI","income",1,-284,-38244,35846,NA,NA,NA,NA,NA,-284,-38244,35846,"AMR",2.09999563985153,-284,-880.398761717834
"109","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","B-J","income",1,77,-1042,1202,NA,NA,NA,NA,NA,77,-1042,1202,"AMR",2.09999563985153,77,238.699664268568
"110","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","BSI","income",24,606,203,1364,"income",8,274,-212,748,440,-132,1225,"AMR",2.09999563985153,606,1878.59735775003
"111","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","BSI","income",10,931,240,2245,NA,NA,NA,NA,NA,931,240,2245,"AMR",2.09999563985153,931,2886.09594070177
"112","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","BSI","income",14,1182,398,2750,"income",5,2779,-788,6315,1981,-177,5729,"AMR",2.09999563985153,1182,3664.19484630451
"113","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","BSI","income",25,502,162,1113,"income",12,212,-97,524,357,-52,989,"AMR",2.09999563985153,502,1556.19781120547
"114","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","COL/INF","income",6,2281,685,5457,"income",2,26229,-15223,68605,14255,-8032,59462,"AMR",2.09999563985153,2281,7071.09005450134
"115","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","COL/INF","income",14,1160,330,2622,"income",6,19563,242,38303,10362,326,35651,"AMR",2.09999563985153,1160,3595.99494222777
"116","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","COL/INF","income",7,727,6,2139,"income",4,21224,-1815,44521,10976,-53,41299,"AMR",2.09999563985153,727,2253.69683017206
"117","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","COL/INF","income",13,509,35,1328,"income",7,2982,-4001,9923,1746,-2803,8524,"AMR",2.09999563985153,509,1577.89778068443
"118","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","RTI","income",6,-136,-642,237,NA,NA,NA,NA,NA,-136,-642,237,"AMR",2.09999563985153,-136,-421.599407019808
"119","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","RTI","income",3,211,-1293,1946,"global",1,5896,-6386,17979,3054,-4727,15642,"AMR",2.09999563985153,211,654.099080008673
"120","High income","BHR","EMRO E","Middle East & North Africa","EMRO","tb","mdr","RTI","income",3,20598,-11464,68197,"income",1,46735,-46974,134128,33666,-35418,123355,"AMR",2.09999563985153,20598,63853.7101896618
"121","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","RTI","income",12,336,64,855,"income",5,-729,-5157,3396,-197,-4266,2743,"AMR",2.09999563985153,336,1041.59853499011
"122","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSI","income",2,1103,357,2630,"income",2,36614,-11030,89443,18858,-3963,80449,"AMR",2.09999563985153,1103,3419.29519075624
"123","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","penicillins","SSTI","income",1,1362,388,3399,"income",1,542,-615,1641,952,-421,2911,"AMR",2.09999563985153,1362,4222.19406147778
"124","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","3g cephalosporins","UTI","income",4,516,165,1215,"income",2,1500,-862,3986,1008,-471,3487,"AMR",2.09999563985153,516,1599.59775016339
"125","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gn","carbapenems","UTI","income",2,1377,20,3625,NA,NA,NA,NA,NA,1377,20,3625,"AMR",2.09999563985153,1377,4268.69399607556
"126","High income","BHR","EMRO E","Middle East & North Africa","EMRO","gp","glycopeptides","UTI","income",1,314,-7966,8697,NA,NA,NA,NA,NA,314,-7966,8697,"AMR",2.09999563985153,314,973.39863091338
