"","Country (ISO3 Code)","WHO-CHOICE Region","World Bank Geographical Region","World Health Organization Region","World Bank Income Status","Gram stain","Antibiotic Class","Syndrome","Regional Level of MA for LOS","Number of Studies in MA for LOS","Mean Cost - from Excess LOS","Low 95% UI Bound - from Excess LOS","High 95% UI Bound - from Excess LOS","Regional Level of MA for Extracted Costs","Number of Studies in MA for Extracted Costs","Mean Cost - from Extracted Costs","Low 95% UI Bound - from Exctraced Costs","High 95% UI Bound - from Extraced Costs","Mean Cost - Across Both","Low 95% UI Bound - Across Both","High 95% UI Bound - Across Both"
"43","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","COL/INF","whoc",3,259,67,606,"income",4,2950,-477,6240,1605,36,5765
"44","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","COL/INF","wbregion",1,522,-51,1468,"wbregion",1,29859,-32231,91557,15191,-20910,81405
"45","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","COL/INF","income",1,46,18,99,"wbregion",2,10365,-4320,24003,5206,-1957,22289
"46","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","RTI","income",7,17,-200,234,NA,NA,NA,NA,NA,17,-200,234
"47","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","RTI","income",1,2078,-1404,8011,"income",1,6492,-5375,18916,4285,-3881,16748
"48","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","tb","mdr","RTI","wbregion",2,9695,-4235,28130,"wbregion",1,47881,-39940,141738,28788,-31095,126955
"49","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","RTI","income",3,68,6,181,"wbregion",1,33506,-31617,96131,16787,-22432,85904
"50","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSI","global",2,345,115,780,"global",2,36591,-12233,86529,18468,-4241,78866
"51","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSTI","income",2,547,120,1320,"income",1,5543,-5708,16631,2212,-2429,13924
"52","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","UTI","wbregion",1,189,77,383,"wbregion",1,1373,-1158,4014,781,-758,3623
"53","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","UTI","global",2,444,20,1171,NA,NA,NA,NA,NA,444,20,1171
"54","ALB","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","UTI","global",1,88,-2670,2650,NA,NA,NA,NA,NA,88,-2670,2650
"55","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","B-J","income",1,612,-5915,7665,NA,NA,NA,NA,NA,612,-5915,7665
"56","AND","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","BSI","whoc",13,3727,961,9349,"whoc",4,1604,-6724,9746,2666,-5386,9478
"57","AND","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","BSI","whoc",5,6272,1096,17450,NA,NA,NA,NA,NA,6272,1096,17450
"58","AND","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","BSI","whoc",2,13182,1126,36397,"whoc",1,36276,-30827,112214,24729,-22182,99482
"59","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","BSI","whoc",6,2034,-6242,12508,"whoc",1,1725,-1638,5087,1879,-5036,9948
"60","AND","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","COL/INF","income",6,13437,4510,29239,"income",2,26143,-16463,68547,19790,-9430,62535
"61","AND","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","COL/INF","whoc",1,5292,-1465,16289,"income",6,18921,1100,36831,12107,-937,34284
"62","AND","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","COL/INF","whoc",1,9594,-470,27837,"whoc",1,30699,-30694,88838,20147,-19372,79900
"63","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","COL/INF","whoc",2,9422,3684,20412,"whoc",2,10336,-3501,24367,9879,-1163,23508
"64","AND","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","RTI","income",6,-911,-4267,1719,NA,NA,NA,NA,NA,-911,-4267,1719
"65","AND","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","RTI","whoc",2,5222,-2330,15901,"global",1,6519,-4891,18532,5870,-4215,17959
"66","AND","EURO A","Europe & Central Asia","EURO","High income","tb","mdr","RTI","whoc",1,56223,917,140534,"income",1,46950,-47955,140606,51587,-37872,140606
"67","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","RTI","whoc",3,10721,3410,26459,"whoc",1,32423,-34889,95527,21572,-24314,86047
"68","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSI","income",2,6555,1971,15411,"income",2,35888,-13646,84342,21221,-5660,78318
"69","AND","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","SSTI","income",1,7904,2350,18451,"income",1,553,-635,1647,5454,-332,16717
"70","AND","EURO A","Europe & Central Asia","EURO","High income","gn","3g cephalosporins","UTI","whoc",1,3494,1350,7441,"whoc",1,1287,-1096,3954,2390,-718,6509
"71","AND","EURO A","Europe & Central Asia","EURO","High income","gn","carbapenems","UTI","whoc",1,4976,-1363,15205,NA,NA,NA,NA,NA,4976,-1363,15205
"72","AND","EURO A","Europe & Central Asia","EURO","High income","gp","glycopeptides","UTI","income",1,649,-44948,55449,NA,NA,NA,NA,NA,649,-44948,55449
"73","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","B-J","income",1,262,-2775,3381,NA,NA,NA,NA,NA,262,-2775,3381
"74","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","3g cephalosporins","BSI","income",24,1631,528,3797,"income",8,280,-245,780,955,-147,3239
"75","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","carbapenems","BSI","income",10,2504,661,6240,NA,NA,NA,NA,NA,2504,661,6240
"76","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","glycopeptides","BSI","income",14,3139,953,7045,"income",5,2859,-810,6568,2999,-56,6877
"77","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","BSI","income",25,1331,425,3028,"income",12,218,-86,532,775,-42,2706
"78","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","3g cephalosporins","COL/INF","income",6,6070,1835,14992,"income",2,26617,-15411,71028,16344,-7583,62054
"79","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","carbapenems","COL/INF","income",14,3045,959,7440,"income",6,19270,-573,38540,11158,867,35199
"80","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","glycopeptides","COL/INF","income",7,1980,121,6019,"income",4,21688,-1690,46391,11834,-58,41156
"81","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","COL/INF","income",13,1323,82,3424,"income",7,2977,-3798,9975,2150,-2891,8981
"82","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","3g cephalosporins","RTI","income",6,-361,-1714,784,NA,NA,NA,NA,NA,-361,-1714,784
"83","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","carbapenems","RTI","income",3,579,-3452,4890,"global",1,6193,-5846,18685,3386,-4613,16499
"84","ARE","EMRO E","Middle East & North Africa","EMRO","High income","tb","mdr","RTI","income",3,57411,-15389,184047,"income",1,46531,-51228,138763,51971,-35686,160211
"85","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","RTI","income",12,926,188,2388,"income",5,-730,-5010,3559,98,-4479,3142
"86","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","SSI","income",2,2904,920,6855,"income",2,36885,-13199,84118,19895,-4776,77189
"87","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","penicillins","SSTI","income",1,3487,930,8213,"income",1,585,-410,1718,2036,-301,7252
"88","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","3g cephalosporins","UTI","income",4,1372,458,3174,"income",2,1597,-786,4154,1484,-522,3822
"89","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gn","carbapenems","UTI","income",2,3623,228,9773,NA,NA,NA,NA,NA,3623,228,9773
"90","ARE","EMRO E","Middle East & North Africa","EMRO","High income","gp","glycopeptides","UTI","income",1,693,-20596,22497,NA,NA,NA,NA,NA,693,-20596,22497
"91","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","B-J","whoc",1,1646,-1833,6832,NA,NA,NA,NA,NA,1646,-1833,6832
"92","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","3g cephalosporins","BSI","whoc",2,1385,-25,3891,"income",3,308,-133,774,846,-115,3228
"93","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","carbapenems","BSI","whoc",2,-54,-2359,1851,NA,NA,NA,NA,NA,-54,-2359,1851
"94","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","glycopeptides","BSI","global",14,1042,353,2421,"global",5,2844,-765,6448,1943,-244,5935
"95","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","BSI","income",6,788,-4,2382,"income",2,119,-121,342,454,-98,1893
"96","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","3g cephalosporins","COL/INF","whoc",4,1409,531,3101,"whoc",1,1603,-1498,4467,1506,-1002,4166
"97","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","carbapenems","COL/INF","whoc",1,405,-276,1454,"whoc",1,2310,-2043,6752,1357,-1311,6022
"98","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","glycopeptides","COL/INF","global",7,645,22,1644,"global",4,22773,-608,46153,11709,-21,42410
"99","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","COL/INF","whoc",1,127,47,269,"global",7,3172,-4306,10183,1650,-2627,8971
"100","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","3g cephalosporins","RTI","income",7,46,-655,756,NA,NA,NA,NA,NA,46,-655,756
"101","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","carbapenems","RTI","income",1,5737,-4525,20935,"income",1,6213,-5941,19119,5975,-5204,19773
"102","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","tb","mdr","RTI","global",3,19466,-10159,62790,"global",1,46438,-39643,138244,32952,-25999,122730
"103","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","RTI","income",3,176,13,467,"global",5,-792,-5384,3631,-308,-4476,2958
"104","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","SSI","global",2,975,329,2231,"global",2,36636,-15159,86275,18806,-4519,78405
"105","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","penicillins","SSTI","income",2,1563,338,4193,"income",1,5786,-6208,16772,3674,-3777,15591
"106","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","3g cephalosporins","UTI","global",4,453,147,1013,"global",2,1508,-698,3736,981,-447,3448
"107","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gn","carbapenems","UTI","global",2,1233,83,3406,NA,NA,NA,NA,NA,1233,83,3406
"108","ARG","AMRO B","Latin America & Caribbean","PAHO","Upper middle income","gp","glycopeptides","UTI","global",1,234,-7338,8431,NA,NA,NA,NA,NA,234,-7338,8431
"109","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","B-J","income",1,348,-448,1275,NA,NA,NA,NA,NA,348,-448,1275
"110","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","BSI","income",13,138,40,309,"income",3,311,-139,729,224,-69,665
"111","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","BSI","income",3,-80,-528,306,NA,NA,NA,NA,NA,-80,-528,306
"112","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","BSI","wbregion",2,432,38,1201,"wbregion",1,35208,-32371,106005,17820,-22057,93798
"113","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","BSI","income",6,169,-4,483,"income",2,127,-89,362,148,-62,400
"114","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","COL/INF","income",6,261,93,568,"income",3,1263,-220,2692,762,-5,2506
"115","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","COL/INF","whoc",3,151,39,361,"income",4,2976,-241,6280,1563,29,5741
"116","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","COL/INF","wbregion",1,298,-58,831,"wbregion",1,31074,-27745,98308,15686,-20390,85510
"117","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","COL/INF","income",1,27,10,59,"wbregion",2,10184,-3705,23836,5106,-904,21889
"118","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","RTI","income",7,10,-127,151,NA,NA,NA,NA,NA,10,-127,151
"119","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","RTI","income",1,1253,-824,4145,"income",1,6338,-6526,18472,3795,-4595,16372
"120","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","tb","mdr","RTI","wbregion",2,5913,-1624,18731,"wbregion",1,49692,-41031,143663,27802,-24506,128272
"121","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","RTI","income",3,38,3,103,"wbregion",1,33287,-33024,102614,16663,-20912,88440
"122","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSI","global",2,205,71,464,"global",2,36764,-12543,87832,18485,-5510,76679
"123","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","penicillins","SSTI","income",2,322,70,790,"income",1,5816,-5195,16851,2154,-2387,14672
"124","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","3g cephalosporins","UTI","wbregion",1,112,43,238,"wbregion",1,1236,-1218,4015,674,-772,3577
"125","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gn","carbapenems","UTI","global",2,266,27,691,NA,NA,NA,NA,NA,266,27,691
"126","ARM","EURO B","Europe & Central Asia","EURO","Upper middle income","gp","glycopeptides","UTI","global",1,52,-1450,1671,NA,NA,NA,NA,NA,52,-1450,1671
"127","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","B-J","whoc",1,2502,-3328,10295,NA,NA,NA,NA,NA,2502,-3328,10295
"128","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","3g cephalosporins","BSI","whoc",2,2184,17,6468,"income",8,269,-232,758,1226,-195,4865
"129","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","carbapenems","BSI","whoc",2,55,-3541,3281,NA,NA,NA,NA,NA,55,-3541,3281
"130","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","glycopeptides","BSI","income",14,1600,564,3615,"income",5,2900,-642,6549,2250,2,5824
"131","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","BSI","income",25,687,241,1547,"income",12,222,-99,536,454,-29,1329
"132","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","3g cephalosporins","COL/INF","whoc",4,2160,867,4656,"whoc",1,1480,-1695,4500,1820,-1237,4606
"133","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","carbapenems","COL/INF","whoc",1,606,-462,2219,"whoc",1,2334,-2173,6858,1470,-1509,6235
"134","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","glycopeptides","COL/INF","income",7,1009,-46,2757,"income",4,21382,-2008,44242,11195,-152,41737
"135","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","COL/INF","whoc",1,198,78,427,"income",7,2989,-3892,10164,1594,-2961,9169
"136","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","3g cephalosporins","RTI","income",6,-187,-931,446,NA,NA,NA,NA,NA,-187,-931,446
"137","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","carbapenems","RTI","income",3,261,-1895,2661,"global",1,6109,-7388,18948,3185,-4793,16688
"138","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","tb","mdr","RTI","income",3,29826,-11224,95643,"income",1,48012,-46598,143571,38919,-35024,133058
"139","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","RTI","income",12,477,93,1260,"income",5,-645,-4807,3811,-84,-4346,3143
"140","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","SSI","income",2,1517,558,3751,"income",2,35741,-13941,87272,18629,-6498,77096
"141","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","penicillins","SSTI","income",1,1844,578,4248,"income",1,579,-539,1667,1212,-345,3588
"142","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","3g cephalosporins","UTI","income",4,708,248,1630,"income",2,1559,-710,3801,1133,-374,3518
"143","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gn","carbapenems","UTI","income",2,1879,69,4905,NA,NA,NA,NA,NA,1879,69,4905
"144","ATG","AMRO B","Latin America & Caribbean","PAHO","High income","gp","glycopeptides","UTI","income",1,154,-11172,11714,NA,NA,NA,NA,NA,154,-11172,11714
"145","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","B-J","income",1,515,-6137,7816,NA,NA,NA,NA,NA,515,-6137,7816
"146","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","3g cephalosporins","BSI","income",24,3714,1166,9047,"income",8,272,-196,761,1993,-152,7112
"147","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","carbapenems","BSI","income",10,5681,1549,14050,NA,NA,NA,NA,NA,5681,1549,14050
"148","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","glycopeptides","BSI","whoc",1,4307,-681,12762,"whoc",1,22069,-22123,67235,13188,-15295,60158
"149","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","BSI","whoc",3,2607,690,6824,"income",12,216,-82,533,1412,-37,5574
"150","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","3g cephalosporins","COL/INF","income",6,13807,4498,33082,"income",2,25946,-18201,64852,19876,-9044,60087
"151","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","carbapenems","COL/INF","income",14,7086,2180,16777,"income",6,19615,1127,38033,13350,2010,35477
"152","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","glycopeptides","COL/INF","income",7,4390,129,12581,"income",4,21537,-3745,45151,12963,-864,40112
"153","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","COL/INF","income",13,3089,294,8090,"income",7,3171,-3913,10567,3130,-2740,9990
"154","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","3g cephalosporins","RTI","income",6,-813,-4003,1886,NA,NA,NA,NA,NA,-813,-4003,1886
"155","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","carbapenems","RTI","income",3,1018,-7965,11234,"wbregion",1,6017,-6194,18838,3517,-7232,17127
"156","AUS","WPRO A","East Asia & Pacific","WPRO","High income","tb","mdr","RTI","whoc",1,11671,-139,32116,"income",1,47851,-42425,136470,29761,-31157,121161
"157","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","RTI","whoc",1,2859,333,8154,"income",5,-783,-5204,3432,1038,-4738,6531
"158","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","SSI","income",2,6760,2182,15834,"income",2,34924,-14857,87496,20842,-6459,78765
"159","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","penicillins","SSTI","income",1,8411,2253,20292,"income",1,599,-495,1740,4505,-333,16778
"160","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","3g cephalosporins","UTI","whoc",1,3816,1353,8992,"income",2,1496,-718,3815,2656,-404,7337
"161","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gn","carbapenems","UTI","income",2,8632,631,24982,NA,NA,NA,NA,NA,8632,631,24982
"162","AUS","WPRO A","East Asia & Pacific","WPRO","High income","gp","glycopeptides","UTI","income",1,2752,-48217,58303,NA,NA,NA,NA,NA,2752,-48217,58303
"163","AUT","EURO A","Europe & Central Asia","EURO","High income","gp","penicillins","B-J","income",1,304,-5359,5940,NA,NA,NA,NA,NA,304,-5359,5940
