,Country (ISO3 Code),WHO-CHOICE Region,World Bank Geographical Region,World Health Organization Region,World Bank Income Status,Gram stain,Antibiotic Class,Syndrome,Regional Level of MA for LOS,Number of Studies in MA for LOS,Mean Cost - from Excess LOS,Low 95% UI Bound - from Excess LOS,High 95% UI Bound - from Excess LOS,Regional Level of MA for Extracted Costs,Number of Studies in MA for Extracted Costs,Mean Cost - from Extracted Costs,Low 95% UI Bound - from Exctraced Costs,High 95% UI Bound - from Extraced Costs,Mean Cost - Across Both,Low 95% UI Bound - Across Both,High 95% UI Bound - Across Both
29,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,BSI,global,3,646,199,1512,global,2,22720,-15662,62005,11683,-10031,56332
30,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,BSI,income,2,517,196,1086,income,2,949,-658,2686,733,-429,2375
31,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,COL/INF,income,3,818,60,2081,income,2,1772,-858,4350,1295,-472,3915
32,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,COL/INF,income,1,308,123,629,NA,NA,NA,NA,NA,308,123,629
33,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,COL/INF,global,3,469,-42,1305,global,5,13297,-143,27300,6883,-45,25388
34,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,COL/INF,wbregion,2,421,127,937,global,4,32765,-2114,69587,16593,104,61592
35,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,IAI,global,1,118,-5,325,global,1,34739,-29477,98705,17428,-20791,89497
36,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,RTI,income,1,1002,-3106,5944,income,1,5215,-4460,15272,3108,-4067,13298
37,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSI,wbregion,1,512,99,1216,global,2,78838,-31496,195948,39675,-18186,174817
38,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSTI,wbregion,1,864,223,2119,NA,NA,NA,NA,NA,864,223,2119
39,ALB,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,10497,-9279,28539,10497,-9279,28539
40,AND,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,BSI,whoc,1,8227,163,24026,income,2,600,-510,1685,4414,-395,19863
41,AND,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,BSI,whoc,2,8680,-1935,26608,NA,NA,NA,NA,NA,8680,-1935,26608
42,AND,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,BSI,income,3,11999,3771,29139,income,2,23702,-13089,65337,17851,-8349,58356
43,AND,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,BSI,whoc,2,16441,4361,41926,income,3,1003,-634,2671,8722,-360,34892
44,AND,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,COL/INF,whoc,1,903,-2347,5253,global,2,1759,-801,4355,1331,-1801,4702
45,AND,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,COL/INF,whoc,5,6981,-5668,24973,NA,NA,NA,NA,NA,6981,-5668,24973
46,AND,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,COL/INF,income,3,9159,209,26291,income,5,13071,-832,27622,11115,-231,26798
47,AND,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,COL/INF,whoc,2,7878,2312,17967,income,4,33166,-1764,66532,20522,1840,62565
48,AND,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,IAI,income,1,2222,-39,6643,income,1,33981,-34852,102678,18102,-24170,93969
49,AND,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,RTI,global,1,20267,-55251,118841,global,1,5015,-5300,14722,12641,-38392,88844
50,AND,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,SSI,whoc,1,9490,1796,23209,income,2,84491,-30587,192650,46991,-13516,180278
51,AND,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,SSTI,whoc,1,16146,3507,38756,NA,NA,NA,NA,NA,16146,3507,38756
52,AND,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,income,1,10212,-8877,29549,10212,-8877,29549
53,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gn,3g cephalosporins,BSI,income,3,3052,1127,7037,income,2,614,-570,1742,1833,-350,5852
54,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gn,carbapenems,BSI,income,3,3561,841,8628,NA,NA,NA,NA,NA,3561,841,8628
55,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,glycopeptides,BSI,income,3,5383,1603,12977,income,2,23893,-16678,64895,14638,-8341,57948
56,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,penicillins,BSI,income,5,4539,1691,9932,income,3,985,-779,2757,2762,-521,8753
57,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gn,3g cephalosporins,COL/INF,income,1,454,-957,2394,global,2,1839,-760,4390,1147,-892,4117
58,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gn,carbapenems,COL/INF,whoc,1,2554,940,5696,NA,NA,NA,NA,NA,2554,940,5696
59,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,glycopeptides,COL/INF,income,3,4060,-54,12150,income,5,13181,-635,27323,8621,-208,24947
60,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,penicillins,COL/INF,income,7,6336,2297,13999,income,4,32394,-4238,68722,19365,1576,62054
61,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,glycopeptides,IAI,income,1,960,-16,2690,income,1,35324,-33432,102472,18142,-23613,91671
62,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gn,carbapenems,RTI,global,1,8440,-26637,51396,global,1,5044,-4601,14836,6742,-18701,41211
63,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,penicillins,SSI,income,3,6706,2214,14922,income,2,80405,-41438,196205,43556,-18102,174622
64,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,penicillins,SSTI,income,1,7237,1547,18358,NA,NA,NA,NA,NA,7237,1547,18358
65,ARE,EMRO E,Middle East & North Africa,EMRO,High income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,income,1,10037,-10653,28331,10037,-10653,28331
66,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gn,3g cephalosporins,BSI,income,2,1009,387,2137,income,2,582,-455,1678,795,-339,1978
67,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gn,carbapenems,BSI,income,1,4221,37,11638,NA,NA,NA,NA,NA,4221,37,11638
68,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,glycopeptides,BSI,global,3,1748,518,4006,global,2,23724,-16180,63572,12736,-10422,57901
69,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,penicillins,BSI,income,2,1430,514,3160,income,2,897,-876,2701,1164,-538,2833
70,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gn,3g cephalosporins,COL/INF,income,3,2255,151,6101,income,2,1769,-615,4178,2012,-337,5109
71,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gn,carbapenems,COL/INF,income,1,850,325,1809,NA,NA,NA,NA,NA,850,325,1809
72,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,glycopeptides,COL/INF,global,3,1352,25,3784,global,5,13376,-1536,27680,7364,-92,25151
73,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,penicillins,COL/INF,global,7,2103,774,4548,global,4,32166,-3489,69971,17135,628,64117
74,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,glycopeptides,IAI,global,1,332,1,922,global,1,34915,-31033,103825,17623,-24769,94793
75,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gn,carbapenems,RTI,income,1,2625,-8284,18524,income,1,5167,-4239,15601,3896,-6749,16578
76,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,penicillins,SSI,global,3,2209,739,5106,global,2,83913,-28516,190788,43061,-9845,177274
77,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,penicillins,SSTI,global,1,2400,547,6444,NA,NA,NA,NA,NA,2400,547,6444
78,ARG,AMRO B,Latin America & Caribbean,PAHO,Upper middle income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,10084,-9131,27824,10084,-9131,27824
79,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,BSI,income,2,215,81,448,income,2,589,-468,1573,402,-305,1424
80,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,BSI,income,1,892,51,2437,NA,NA,NA,NA,NA,892,51,2437
81,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,BSI,global,3,378,124,870,global,2,23117,-13935,61933,11747,-8281,55240
82,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,BSI,income,2,307,111,677,income,2,951,-803,2672,629,-536,2408
83,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,COL/INF,income,3,491,36,1283,income,2,1831,-649,4221,1161,-396,3907
84,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,COL/INF,income,1,182,69,385,NA,NA,NA,NA,NA,182,69,385
85,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,COL/INF,global,3,292,19,779,global,5,13150,-1439,27132,6721,-20,24647
86,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,COL/INF,wbregion,2,252,75,582,global,4,32323,-2380,68161,16287,60,62092
87,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,IAI,global,1,70,0,206,global,1,33896,-33603,97861,16983,-21627,89824
88,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,RTI,income,1,555,-1793,3452,income,1,4894,-5617,14668,2725,-3889,13061
89,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSI,wbregion,1,304,60,778,global,2,79845,-37749,197845,40075,-14913,179567
90,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSTI,wbregion,1,512,113,1231,NA,NA,NA,NA,NA,512,113,1231
91,ARM,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,10571,-9936,30109,10571,-9936,30109
92,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gn,3g cephalosporins,BSI,income,3,1566,638,3324,income,2,589,-540,1692,1078,-321,2971
93,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gn,carbapenems,BSI,income,3,1859,470,4860,NA,NA,NA,NA,NA,1859,470,4860
94,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,glycopeptides,BSI,income,3,2773,910,6131,income,2,24340,-14819,64687,13556,-7693,56364
95,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,penicillins,BSI,income,5,2341,938,5027,income,3,985,-718,2706,1663,-412,4416
96,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gn,3g cephalosporins,COL/INF,income,1,209,-511,1215,global,2,1797,-789,4312,1003,-602,3886
97,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gn,carbapenems,COL/INF,income,8,2533,365,6768,NA,NA,NA,NA,NA,2533,365,6768
98,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,glycopeptides,COL/INF,income,3,2109,26,5701,income,5,13449,-543,27032,7779,-43,25021
99,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,penicillins,COL/INF,income,7,3241,1306,6913,income,4,32496,-3629,67973,17869,863,62840
100,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,glycopeptides,IAI,income,1,529,-20,1486,income,1,34346,-38282,103526,17438,-24273,91363
101,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gn,carbapenems,RTI,global,1,4619,-12560,27150,global,1,4764,-5269,14527,4691,-8938,20159
102,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,penicillins,SSI,income,3,3425,1232,7607,income,2,82407,-35085,204296,42916,-17486,181955
103,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,penicillins,SSTI,income,1,3706,839,9174,NA,NA,NA,NA,NA,3706,839,9174
104,ATG,AMRO B,Latin America & Caribbean,PAHO,High income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,income,1,10398,-9958,29091,10398,-9958,29091
105,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gn,3g cephalosporins,BSI,income,3,6971,2683,15641,income,2,595,-460,1698,3783,-361,13013
106,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gn,carbapenems,BSI,income,3,8094,1761,21226,NA,NA,NA,NA,NA,8094,1761,21226
107,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,glycopeptides,BSI,income,3,12229,3715,29507,income,2,23502,-15924,63798,17866,-9833,57484
108,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,penicillins,BSI,income,5,10362,3907,22917,income,3,1011,-784,2742,5687,-504,19637
109,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gn,3g cephalosporins,COL/INF,income,1,967,-2643,5500,wbregion,2,1705,-928,4270,1336,-1943,4794
110,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gn,carbapenems,COL/INF,income,8,11218,2180,29361,NA,NA,NA,NA,NA,11218,2180,29361
111,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,glycopeptides,COL/INF,income,3,9330,-158,25953,income,5,13141,-1220,27694,11236,-489,27303
112,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,penicillins,COL/INF,whoc,1,15502,5956,34482,income,4,33835,-2736,68398,24668,3609,63908
113,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,glycopeptides,IAI,income,1,2294,-205,6488,income,1,34789,-32365,102179,18542,-22289,91960
114,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gn,carbapenems,RTI,wbregion,1,19566,-55944,106774,wbregion,1,5268,-3896,14937,12417,-41627,89079
115,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,penicillins,SSI,income,3,15212,5395,35283,income,2,80081,-41276,194265,47647,-12662,178340
116,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,penicillins,SSTI,income,1,16442,3863,39095,NA,NA,NA,NA,NA,16442,3863,39095
117,AUS,WPRO A,East Asia & Pacific,WPRO,High income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,income,1,9936,-8797,30145,9936,-8797,30145
118,AUT,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,BSI,whoc,1,6653,329,17808,income,2,575,-480,1595,3614,-358,15401
119,AUT,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,BSI,whoc,2,7408,-1573,23121,NA,NA,NA,NA,NA,7408,-1573,23121
120,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,BSI,income,3,10031,2997,24414,income,2,24622,-14813,64427,17327,-7630,56544
121,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,BSI,whoc,2,13936,3382,35054,income,3,1057,-632,2774,7497,-392,30403
122,AUT,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,COL/INF,whoc,1,799,-2552,4938,global,2,1801,-740,4412,1300,-1770,4631
123,AUT,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,COL/INF,whoc,5,5678,-6711,25896,NA,NA,NA,NA,NA,5678,-6711,25896
124,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,COL/INF,income,3,7682,12,23395,income,5,12988,-675,27071,10335,-241,26645
125,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,COL/INF,whoc,2,6624,1840,15073,income,4,33822,-1078,70086,20223,1513,64521
126,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,IAI,income,1,1829,-142,5344,income,1,33668,-33329,97704,17749,-20263,87688
127,AUT,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,RTI,global,1,14776,-53387,97645,global,1,4970,-4618,14431,9873,-37205,82350
128,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,SSI,whoc,1,8188,1360,21054,income,2,82434,-40127,201370,45311,-12289,179135
129,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,SSTI,whoc,1,13655,3343,34419,NA,NA,NA,NA,NA,13655,3343,34419
130,AUT,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,income,1,9904,-9652,29626,9904,-9652,29626
131,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,BSI,income,2,312,125,679,income,2,602,-465,1703,457,-293,1520
132,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,BSI,income,1,1324,16,3751,NA,NA,NA,NA,NA,1324,16,3751
133,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,BSI,global,3,549,173,1250,global,2,23693,-16005,61948,12121,-8752,55551
134,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,BSI,income,2,440,164,950,income,2,967,-772,2616,704,-522,2369
135,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,3g cephalosporins,COL/INF,income,3,726,35,1955,income,2,1738,-747,4324,1232,-411,3847
136,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,COL/INF,income,1,263,103,560,NA,NA,NA,NA,NA,263,103,560
137,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,COL/INF,global,3,417,5,1139,global,5,13280,-845,26691,6849,-29,24377
138,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,COL/INF,wbregion,2,368,110,865,global,4,33435,-3721,69985,16902,101,64023
139,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,IAI,global,1,99,1,276,global,1,33040,-31466,97347,16569,-22782,89404
140,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gn,carbapenems,RTI,income,1,809,-2768,4916,income,1,4980,-5317,14509,2895,-4370,12705
141,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSI,wbregion,1,438,94,1083,global,2,79499,-26326,195629,39968,-10222,179962
142,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,penicillins,SSTI,wbregion,1,745,173,1811,NA,NA,NA,NA,NA,745,173,1811
143,AZE,EURO B,Europe & Central Asia,EURO,Upper middle income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,9794,-9326,30103,9794,-9326,30103
144,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gn,3g cephalosporins,BSI,global,3,14,5,30,global,2,624,-506,1751,319,-310,1513
145,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gn,carbapenems,BSI,global,4,18,4,43,NA,NA,NA,NA,NA,18,4,43
146,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,glycopeptides,BSI,global,3,25,8,58,global,2,24051,-13384,62623,12038,-7063,56354
147,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,penicillins,BSI,global,5,21,8,46,global,3,985,-768,2831,503,-471,2455
148,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gn,3g cephalosporins,COL/INF,whoc,1,54,20,122,global,2,1737,-663,4214,895,-274,3766
149,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gn,carbapenems,COL/INF,global,9,17,6,37,NA,NA,NA,NA,NA,17,6,37
150,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,glycopeptides,COL/INF,global,3,19,0,54,global,5,13828,-436,28316,6923,-1,25912
151,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,penicillins,COL/INF,global,7,29,11,63,global,4,31482,-8017,71386,15755,-74,61275
152,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,glycopeptides,IAI,global,1,4,0,12,global,1,34885,-34593,102697,17445,-23293,87458
153,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gn,carbapenems,RTI,global,1,38,-114,221,global,1,5124,-4257,15420,2581,-2809,13739
154,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,penicillins,SSI,global,3,30,10,68,global,2,85503,-25015,208853,42767,-8718,188836
155,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,penicillins,SSTI,global,1,34,8,84,NA,NA,NA,NA,NA,34,8,84
156,BDI,AFRO E,Sub-Saharan Africa,AFRO,Low income,gp,glycopeptides,UTI,NA,NA,NA,NA,NA,global,1,9734,-9169,30125,9734,-9169,30125
157,BEL,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,BSI,whoc,1,6441,179,19204,income,2,588,-476,1644,3514,-401,15530
158,BEL,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,BSI,whoc,2,7044,-1806,21641,NA,NA,NA,NA,NA,7044,-1806,21641
159,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,BSI,income,3,9638,3065,24089,income,2,24304,-16796,63087,16971,-8761,57515
160,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,BSI,whoc,2,13250,3460,33473,income,3,1050,-717,2745,7150,-440,27785
161,BEL,EURO A,Europe & Central Asia,EURO,High income,gn,3g cephalosporins,COL/INF,whoc,1,715,-2056,4327,global,2,1813,-740,4499,1264,-1620,4444
162,BEL,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,COL/INF,whoc,5,5520,-4943,20573,NA,NA,NA,NA,NA,5520,-4943,20573
163,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,COL/INF,income,3,7156,162,18756,income,5,13113,-1351,27544,10135,-462,25781
164,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,COL/INF,whoc,2,6231,1993,15643,income,4,33192,-2714,69762,19711,1461,63354
165,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,glycopeptides,IAI,income,1,1782,-54,5143,income,1,32791,-31457,96496,17286,-20671,87687
166,BEL,EURO A,Europe & Central Asia,EURO,High income,gn,carbapenems,RTI,global,1,14888,-46379,89682,global,1,4705,-4754,14691,9797,-32838,72262
167,BEL,EURO A,Europe & Central Asia,EURO,High income,gp,penicillins,SSI,whoc,1,7547,1495,18013,income,2,81544,-31030,194630,44545,-12532,174370
