Antibiotic,Class,ATC code,Category ,Listed on EML 2019
Teicoplanin,Glycopeptides,J01XA02,Watch,No
Telavancin,Glycopeptides,J01XA03,Reserve,No
Telithromycin,Macrolides,J01FA15,Watch,No
Temocillin,Carboxypenicillins,J01CA17,Watch,No
Tetracycline,Tetracyclines,J01AA07,Access,No
Thiamphenicol,Amphenicols,J01BA02,Access,No
Ticarcillin,Carboxypenicillins,J01CA13,Watch,No
Tigecycline,Glycylcyclines,J01AA12,Reserve,No
Tobramycin,Aminoglycosides,J01GB01,Watch,No
Tosufloxacin,Fluoroquinolones,J01MA22,Watch,No
Trimethoprim,Trimethoprim,J01EA01,Access,No
Vancomycin (IV),Glycopeptides,J01XA01,Watch ,Yes
Vancomycin (oral),Glycopeptides,A07AA09,Watch ,Yes
